Object_Code,Top_Name,Sub_Name
613,Cash,Cash on Hand
614,Cash,Cash Change Funds
615,Cash,Certificates of Deposit (CD'S)
616,Cash,Cash with Fiscal Agent
620,Investments,Investments
621,Investments,Repurchase Agreements
622,Investments,Commercial Paper
623,Investments,Other Investments
630,Accounts Receivable,Accounts Receivable
631,Accounts Receivable,Tuition Receivable
633,Accounts Receivable,Loans Receivable
639,Accounts Receivable,Other Receivables
640,Due From other Funds,Due From other Funds
641,Due From Other Funds,Interfund Receivables
650,Inventories,Inventories
651,Inventories,Inventories for Resale
652,Inventories,Food Inventory
653,Inventories,Fuel Inventory
654,Inventories,Supplies Inventory
660,Prepaid Expenses,Prepaid Expenses
670,Other Assets,Other Assets
671,Other Assets,Equity in Insurance Pool
680,"Property, Plant and Equipment","Property, Plant and Equipment"
681,"Property, Plant and Equipment",Land
682,"Property, Plant and Equipment",Buildings
683,"Property, Plant and Equipment",Improvements Other Than Buildings
684,"Property, Plant and Equipment",Equipment
685,"Property, Plant and Equipment",Construction-In-Progress
686,"Property, Plant and Equipment",Accumulated Depreciation
690,"Property, Plant and Equipment",Other Debits
691,Amount Available In Debt Service Fund,Amount Available In Debt Service Fund
692,Amount to be Provided for Retirement of Long-Term Debt,Amount to be Provided for Retirement of Long-Term Debt
693,Intangible Assets,Intangible Assets
695,Deferred Outflows of Resources,Deferred Outflows of Resources
700,Liabilities,Liabilities
710,Accounts Payable,Accounts Payable
712,Accounts Payable,Judgments Payable
713,Accounts Payable,Contracts Payable
714,Accounts Payable,Deposits Payable
720,Payroll Accruals and Liabilities,Payroll Accruals and Liabilities
721,Payroll Accruals and Liabilities,PERS Payable
722,Payroll Accruals and Liabilities,TRS Payable
723,Payroll Accruals and Liabilities,Unemployment Compensation Payable
724,Payroll Accruals and Liabilities,Supplemental Benefits System Payable
725,Payroll Accruals and Liabilities,Workers' Compensation Payable
726,Payroll Accruals and Liabilities,Federal Withholding Payable
727,Payroll Accruals and Liabilities,Health and Life Insurance Payable
728,Payroll Accruals and Liabilities,State Withholding Payable
729,Payroll Accruals and Liabilities,FICA Contribution Payable
730,Payroll Accruals and Liabilities,Compensated Absences - Current
731,Payroll Accruals and Liabilities,Other Payroll Liabilities
732,Payroll Accruals and Liabilities,Other Payroll Liabilities
733,Payroll Accruals and Liabilities,Other Payroll Liabilities
734,Payroll Accruals and Liabilities,Other Payroll Liabilities
735,Payroll Accruals and Liabilities,Other Payroll Liabilities
736,Payroll Accruals and Liabilities,Other Payroll Liabilities
737,Payroll Accruals and Liabilities,Other Payroll Liabilities
738,Payroll Accruals and Liabilities,Other Payroll Liabilities
739,Payroll Accruals and Liabilities,Other Payroll Liabilities
740,Leases and Contracts Payable,Leases and Contracts Payable
741,Leases and Contracts Payable,Lease-Purchase Payable - Current
742,Leases and Contracts Payable,Construction Contracts Payable
743,Leases and Contracts Payable,Contruction Contracts Payable - Retained Percentage
750,Loans Payable - Current,Loans Payable - Current
760,Unearned Revenue,Unearned Revenue
770,Due to Other Funds,Due to Other Funds
780,Due to Others - External Groups and Agencies,Due to Others - External Groups and Agencies
790,Long-Term Liabilities,Long-Term Liabilities
791,Long-Term Liabilities,Lease-Purchase Payable - Long-Term
792,Long-Term Liabilities,Loans Payable - Current
793,Long-Term Liabilities,Compensated Absences
795,Deferred Inflows of Resources,Deferred Inflows of Resources
800,Fund Balance,Fund Balance
810,Nonspendable Fund Balance,Nonspendable Fund Balance
811,Nonspendable Fund Balance,Nonspendable Fund Balance
812,Nonspendable Fund Balance,Nonspendable Fund Balance
813,Nonspendable Fund Balance,Nonspendable Fund Balance
814,Nonspendable Fund Balance,Nonspendable Fund Balance
815,Nonspendable Fund Balance,Nonspendable Fund Balance
816,Nonspendable Fund Balance,Nonspendable Fund Balance
817,Nonspendable Fund Balance,Nonspendable Fund Balance
818,Nonspendable Fund Balance,Nonspendable Fund Balance
819,Restricted Fund Balance,Restricted Fund Balance
820,Committed Fund Balance,Committed Fund Balance
821,Committed Fund Balance,Committed For ____ (District Committed)
822,Committed Fund Balance,Committed For ____ (District Committed)
823,Committed Fund Balance,Committed For ____ (District Committed)
824,Committed Fund Balance,Committed For ____ (District Committed)
825,Committed Fund Balance,Committed For ____ (District Committed)
826,Committed Fund Balance,Committed For ____ (District Committed)
827,Committed Fund Balance,Committed For ____ (District Committed)
828,Committed Fund Balance,Committed For ____ (District Committed)
829,Committed Fund Balance,Committed For ____ (District Committed)
830,Assigned Fund Balance,Assigned Fund Balance
831,Assigned Fund Balance,Assigned For ______ (District Assigned)
832,Assigned Fund Balance,Assigned For ______ (District Assigned)
833,Assigned Fund Balance,Assigned For ______ (District Assigned)
834,Assigned Fund Balance,Assigned For ______ (District Assigned)
835,Assigned Fund Balance,Assigned For ______ (District Assigned)
836,Assigned Fund Balance,Assigned For ______ (District Assigned)
837,Assigned Fund Balance,Assigned For ______ (District Assigned)
838,Assigned Fund Balance,Assigned For ______ (District Assigned)
839,Assigned Fund Balance,Assigned For ______ (District Assigned)
840,Assigned Fund Balance,Assigned For ______ (District Assigned)
841,Assigned Fund Balance,Assigned For ______ (District Assigned)
842,Assigned Fund Balance,Assigned For ______ (District Assigned)
843,Assigned Fund Balance,Assigned For ______ (District Assigned)
844,Assigned Fund Balance,Assigned For ______ (District Assigned)
845,Unassigned Fund Balance,Unassigned Fund Balance
850,Net Investments in Capital Assets,Net Investments in Capital Assets
860,Restricted Net Position,Restricted Net Position
870,Unrestricted Net Position,Unrestricted Net Position
900,Unrestricted Net Position,Budgetary and Control Accounts
910,Unrestricted Net Position,Estimated Revenues (Control)
911,Unrestricted Net Position,Revenues (Control)
920,Unrestricted Net Position,Appropriations (Control)
921,Unrestricted Net Position,Expenditures (Control)
930,Unrestricted Net Position,Encumbrances (Control)
