District_Name,Fiscal_Year,Fund_Code,Function_Code,School_Code,Program_Code,Object_Code,Account_Name,Description,Budget,Encumbrance,Amount,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_Year,BatchNo
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Jan 17 Payroll,0,0,50095.71,1/29/2020,J,1863, , ,,         ,                              ,                   ,20,275
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Jan 31 Payroll,0,0,50095.71,2/13/2020,J,1866, , ,,         ,                              ,                   ,20,289
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Feb 14 Payroll,0,0,50095.71,2/25/2020,J,1868, , ,,         ,                              ,                   ,20,325
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Feb 28 Payroll,0,0,53086.99,2/28/2020,J,1869, , ,,         ,                              ,                   ,20,349
Delta/Greely School District,20,100,549,100,000,315,TEACHER,March 13 Payroll,0,0,53086.99,3/25/2020,J,1870, , ,,         ,                              ,                   ,20,368
Delta/Greely School District,20,100,549,100,000,315,TEACHER,March 27 Payroll,0,0,53086.99,3/31/2020,J,1871, , ,,         ,                              ,                   ,20,379
Delta/Greely School District,20,100,549,100,000,315,TEACHER,April 10 Payroll,0,0,53790.81,4/10/2020,J,1872, , ,,         ,                              ,                   ,20,390
Delta/Greely School District,20,100,549,100,000,315,TEACHER,April 24 Payroll,0,0,50095.71,4/23/2020,J,1875, , ,,         ,                              ,                   ,20,405
Delta/Greely School District,20,100,549,100,000,315,TEACHER,May 8 Payroll,0,0,50095.71,5/19/2020,J,1878, , ,,         ,                              ,                   ,20,430
Delta/Greely School District,20,100,549,100,000,315,TEACHER,May 22 Fringe,0,0,50095.71,5/22/2020,J,1879, , ,,         ,                              ,                   ,20,433
Delta/Greely School District,20,100,549,100,000,315,TEACHER,June 5 Payroll,0,0,50095.71,6/18/2020,J,1884, , ,,         ,                              ,                   ,20,473
Delta/Greely School District,20,100,549,100,000,315,TEACHER,June 19 & June 22 Payrolls,0,0,50095.71,6/19/2020,J,1886, , ,,         ,                              ,                   ,20,475
Delta/Greely School District,20,100,549,100,000,315,TEACHER,July 17 Cert Payroll,0,0,50095.71,6/30/2020,J,1889, , ,,         ,                              ,                   ,20,491
Delta/Greely School District,20,100,549,100,000,315,TEACHER,July 2 Cert Payroll,0,0,50095.71,6/30/2020,J,1888, , ,,         ,                              ,                   ,20,484
Delta/Greely School District,20,100,549,100,000,315,TEACHER,July 31 Cert Payroll,0,0,50095.8,6/30/2020,J,1890, , ,,         ,                              ,                   ,20,492
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Correcting Federal Withholding,0,0,1154.06,6/30/2020,J,1935, , ,,         ,                              ,                   ,20,543
Delta/Greely School District,20,100,549,100,000,319,Certified Leave Cashin,April 10 Payroll,0,0,1055.73,4/10/2020,J,1872, , ,,         ,                              ,                   ,20,390
Delta/Greely School District,20,100,549,100,000,319,Certified Leave Cashin,May 22 Fringe,0,0,1881.88,5/22/2020,J,1879, , ,,         ,                              ,                   ,20,433
Delta/Greely School District,20,100,549,100,000,319,Certified Leave Cashin,June 5 Payroll,0,0,1422.37,6/18/2020,J,1884, , ,,         ,                              ,                   ,20,473
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Sept 13 Payroll,0,0,620,9/13/2019,J,1768, , ,,         ,                              ,                   ,20,71
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,,0,0,110,9/23/2019,J,1772, , ,,         ,                              ,                   ,20,80
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Sept 27 Payroll,0,0,1100,10/3/2019,J,1808, , ,,         ,                              ,                   ,20,97
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Oct 11 Payroll,0,0,1785,10/11/2019,J,1809, , ,,         ,                              ,                   ,20,105
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,October 25 Payroll,0,0,1855,10/25/2019,J,1835, , ,,         ,                              ,                   ,20,124
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Nov 8 Payroll,0,0,2330,11/8/2019,J,1841, , ,,         ,                              ,                   ,20,146
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Nov 22 Payroll & Rebate,0,0,1505,11/26/2019,J,1851, , ,,         ,                              ,                   ,20,170
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Dec 6 Payroll,0,0,805,12/6/2019,J,1856, , ,,         ,                              ,                   ,20,182
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Dec 20 Payroll,0,0,520,12/20/2019,J,1857, , ,,         ,                              ,                   ,20,202
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,January 3 Payroll,0,0,1280,1/6/2020,J,1860, , ,,         ,                              ,                   ,20,211
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Jan 31 Payroll,0,0,1290,2/13/2020,J,1866, , ,,         ,                              ,                   ,20,289
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Feb 14 Payroll,0,0,1460,2/25/2020,J,1868, , ,,         ,                              ,                   ,20,325
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,Feb 28 Payroll,0,0,1855,2/28/2020,J,1869, , ,,         ,                              ,                   ,20,349
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,March 13 Payroll,0,0,2195,3/25/2020,J,1870, , ,,         ,                              ,                   ,20,368
Delta/Greely School District,20,100,549,100,000,329,SUBSTITUTE/TEMPORARY,March 27 Payroll,0,0,1405,3/31/2020,J,1871, , ,,         ,                              ,                   ,20,379
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Sept 13 Payroll,0,0,15405.96,9/13/2019,J,1768, , ,,         ,                              ,                   ,20,71
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Sept 27 Payroll,0,0,15405.96,10/3/2019,J,1808, , ,,         ,                              ,                   ,20,97
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Oct 11 Payroll,0,0,15405.96,10/11/2019,J,1809, , ,,         ,                              ,                   ,20,105
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,October 25 Payroll,0,0,15405.96,10/25/2019,J,1835, , ,,         ,                              ,                   ,20,124
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Nov 8 Payroll,0,0,15405.96,11/8/2019,J,1841, , ,,         ,                              ,                   ,20,146
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Nov 22 Payroll & Rebate,0,0,15346.34,11/26/2019,J,1851, , ,,         ,                              ,                   ,20,170
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Dec 6 Payroll,0,0,15405.96,12/6/2019,J,1856, , ,,         ,                              ,                   ,20,182
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Dec 20 Payroll,0,0,15405.96,12/20/2019,J,1857, , ,,         ,                              ,                   ,20,202
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,January 3 Payroll,0,0,15405.96,1/6/2020,J,1860, , ,,         ,                              ,                   ,20,211
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Jan 17 Payroll,0,0,14424.64,1/29/2020,J,1863, , ,,         ,                              ,                   ,20,275
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Jan 31 Payroll,0,0,14424.64,2/13/2020,J,1866, , ,,         ,                              ,                   ,20,289
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Feb 14 Payroll,0,0,14424.64,2/25/2020,J,1868, , ,,         ,                              ,                   ,20,325
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Feb 28 Payroll,0,0,14424.64,2/28/2020,J,1869, , ,,         ,                              ,                   ,20,349
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,March 13 Payroll,0,0,14424.64,3/25/2020,J,1870, , ,,         ,                              ,                   ,20,368
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,March 27 Payroll,0,0,14424.64,3/31/2020,J,1871, , ,,         ,                              ,                   ,20,379
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,April 10 Payroll,0,0,14424.64,4/10/2020,J,1872, , ,,         ,                              ,                   ,20,390
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,April 24 Payroll,0,0,14424.64,4/23/2020,J,1875, , ,,         ,                              ,                   ,20,405
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,May 8 Payroll,0,0,14424.64,5/19/2020,J,1878, , ,,         ,                              ,                   ,20,430
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,May 22 Fringe,0,0,14424.64,5/22/2020,J,1879, , ,,         ,                              ,                   ,20,433
Delta/Greely School District,20,100,549,100,000,351,INSURANCE-LIFE AND HEALTH,Adjusting Health Insurance,0,0,51298,6/30/2020,J,1932, , ,,         ,                              ,                   ,20,543
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Aug 16 Payroll,0,0,20.05,8/28/2019,J,1766, , ,,         ,                              ,                   ,20,48
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,August 30 Payroll,0,0,20.1,8/29/2019,J,1767, , ,,         ,                              ,                   ,20,53
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Sept 13 Payroll,0,0,20.3,9/13/2019,J,1768, , ,,         ,                              ,                   ,20,71
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,,0,0,0.04,9/23/2019,J,1772, , ,,         ,                              ,                   ,20,80
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Sept 27 Payroll,0,0,20.48,10/3/2019,J,1808, , ,,         ,                              ,                   ,20,97
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Oct 11 Payroll,0,0,20.77,10/11/2019,J,1809, , ,,         ,                              ,                   ,20,105
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,October 25 Payroll,0,0,20.78,10/25/2019,J,1835, , ,,         ,                              ,                   ,20,124
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Nov 8 Payroll,0,0,20.98,11/8/2019,J,1841, , ,,         ,                              ,                   ,20,146
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Nov 22 Payroll & Rebate,0,0,20.66,11/26/2019,J,1851, , ,,         ,                              ,                   ,20,170
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Dec 6 Payroll,0,0,20.38,12/6/2019,J,1856, , ,,         ,                              ,                   ,20,182
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Dec 20 Payroll,0,0,20.26,12/20/2019,J,1857, , ,,         ,                              ,                   ,20,202
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,January 3 Payroll,0,0,20.58,1/6/2020,J,1860, , ,,         ,                              ,                   ,20,211
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Jan 17 Payroll,0,0,20.04,1/29/2020,J,1863, , ,,         ,                              ,                   ,20,275
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Jan 31 Payroll,0,0,20.62,2/13/2020,J,1866, , ,,         ,                              ,                   ,20,289
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Feb 14 Payroll,0,0,20.62,2/25/2020,J,1868, , ,,         ,                              ,                   ,20,325
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Feb 28 Payroll,0,0,21.98,2/28/2020,J,1869, , ,,         ,                              ,                   ,20,349
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,March 13 Payroll,0,0,22.11,3/25/2020,J,1870, , ,,         ,                              ,                   ,20,368
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,March 27 Payroll,0,0,21.79,3/31/2020,J,1871, , ,,         ,                              ,                   ,20,379
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,April 10 Payroll,0,0,21.94,4/10/2020,J,1872, , ,,         ,                              ,                   ,20,390
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,April 24 Payroll,0,0,20.04,4/23/2020,J,1875, , ,,         ,                              ,                   ,20,405
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,May 8 Payroll,0,0,20.04,5/19/2020,J,1878, , ,,         ,                              ,                   ,20,430
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,May 22 Fringe,0,0,20.79,5/22/2020,J,1879, , ,,         ,                              ,                   ,20,433
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,June 5 Payroll,0,0,20.67,6/18/2020,J,1884, , ,,         ,                              ,                   ,20,473
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,June 19 & June 22 Payrolls,0,0,20.1,6/19/2020,J,1886, , ,,         ,                              ,                   ,20,475
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,July 31 Cert Payroll,0,0,20.1,6/30/2020,J,1890, , ,,         ,                              ,                   ,20,492
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,July 17 Cert Payroll,0,0,20.1,6/30/2020,J,1889, , ,,         ,                              ,                   ,20,491
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,July 2 Cert Payroll,0,0,20.1,6/30/2020,J,1888, , ,,         ,                              ,                   ,20,484
Delta/Greely School District,20,100,549,100,000,352,UNEMPLOYMENT INSURANCE,Adjusting Unemployment Payable,0,0,170.75,6/30/2020,J,1934, , ,,         ,                              ,                   ,20,543
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Aug 16 Payroll,0,0,749.58,8/28/2019,J,1766, , ,,         ,                              ,                   ,20,48
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,August 30 Payroll,0,0,751.44,8/29/2019,J,1767, , ,,         ,                              ,                   ,20,53
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Sept 13 Payroll,0,0,760.74,9/13/2019,J,1768, , ,,         ,                              ,                   ,20,71
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,,0,0,1.65,9/23/2019,J,1772, , ,,         ,                              ,                   ,20,80
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Sept 27 Payroll,0,0,767.95,10/3/2019,J,1808, , ,,         ,                              ,                   ,20,97
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Oct 11 Payroll,0,0,778.22,10/11/2019,J,1809, , ,,         ,                              ,                   ,20,105
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,October 25 Payroll,0,0,779.28,10/25/2019,J,1835, , ,,         ,                              ,                   ,20,124
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Nov 8 Payroll,0,0,786.4,11/8/2019,J,1841, , ,,         ,                              ,                   ,20,146
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Nov 22 Payroll & Rebate,0,0,774.02,11/26/2019,J,1851, , ,,         ,                              ,                   ,20,170
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Dec 6 Payroll,0,0,763.52,12/6/2019,J,1856, , ,,         ,                              ,                   ,20,182
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Dec 20 Payroll,0,0,759.24,12/20/2019,J,1857, , ,,         ,                              ,                   ,20,202
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,January 3 Payroll,0,0,770.64,1/6/2020,J,1860, , ,,         ,                              ,                   ,20,211
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Jan 17 Payroll,0,0,751.45,1/29/2020,J,1863, , ,,         ,                              ,                   ,20,275
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Jan 31 Payroll,0,0,770.79,2/13/2020,J,1866, , ,,         ,                              ,                   ,20,289
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Feb 14 Payroll,0,0,773.36,2/25/2020,J,1868, , ,,         ,                              ,                   ,20,325
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Feb 28 Payroll,0,0,824.16,2/28/2020,J,1869, , ,,         ,                              ,                   ,20,349
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,March 13 Payroll,0,0,829.25,3/25/2020,J,1870, , ,,         ,                              ,                   ,20,368
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,March 27 Payroll,0,0,817.41,3/31/2020,J,1871, , ,,         ,                              ,                   ,20,379
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,April 10 Payroll,0,0,822.71,4/10/2020,J,1872, , ,,         ,                              ,                   ,20,390
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,April 24 Payroll,0,0,751.45,4/23/2020,J,1875, , ,,         ,                              ,                   ,20,405
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,May 8 Payroll,0,0,751.45,5/19/2020,J,1878, , ,,         ,                              ,                   ,20,430
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,May 22 Fringe,0,0,779.68,5/22/2020,J,1879, , ,,         ,                              ,                   ,20,433
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,June 5 Payroll,0,0,772.78,6/18/2020,J,1884, , ,,         ,                              ,                   ,20,473
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,June 19 & June 22 Payrolls,0,0,751.44,6/19/2020,J,1886, , ,,         ,                              ,                   ,20,475
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,July 31 Cert Payroll,0,0,751.42,6/30/2020,J,1890, , ,,         ,                              ,                   ,20,492
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,July 2 Cert Payroll,0,0,751.44,6/30/2020,J,1888, , ,,         ,                              ,                   ,20,484
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,July 17 Cert Payroll,0,0,751.44,6/30/2020,J,1889, , ,,         ,                              ,                   ,20,491
Delta/Greely School District,20,100,549,100,000,353,WORKER'S COMPENSATION,Adjusting Workers Comp Payable,0,0,-10275.53,6/30/2020,J,1933, , ,,         ,                              ,                   ,20,543
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Aug 16 Payroll,0,0,724.61,8/28/2019,J,1766, , ,,         ,                              ,                   ,20,48
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,August 30 Payroll,0,0,726.41,8/29/2019,J,1767, , ,,         ,                              ,                   ,20,53
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Sept 13 Payroll,0,0,773.84,9/13/2019,J,1768, , ,,         ,                              ,                   ,20,71
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,,0,0,8.42,9/23/2019,J,1772, , ,,         ,                              ,                   ,20,80
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Sept 27 Payroll,0,0,802.28,10/3/2019,J,1808, , ,,         ,                              ,                   ,20,97
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Oct 11 Payroll,0,0,854.71,10/11/2019,J,1809, , ,,         ,                              ,                   ,20,105
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,October 25 Payroll,0,0,860.06,10/25/2019,J,1835, , ,,         ,                              ,                   ,20,124
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Nov 8 Payroll,0,0,896.38,11/8/2019,J,1841, , ,,         ,                              ,                   ,20,146
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Nov 22 Payroll & Rebate,0,0,833.27,11/26/2019,J,1851, , ,,         ,                              ,                   ,20,170
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Dec 6 Payroll,0,0,779.72,12/6/2019,J,1856, , ,,         ,                              ,                   ,20,182
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Dec 20 Payroll,0,0,757.93,12/20/2019,J,1857, , ,,         ,                              ,                   ,20,202
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,January 3 Payroll,0,0,814.03,1/6/2020,J,1860, , ,,         ,                              ,                   ,20,211
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Jan 17 Payroll,0,0,719,1/29/2020,J,1863, , ,,         ,                              ,                   ,20,275
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Jan 31 Payroll,0,0,817.41,2/13/2020,J,1866, , ,,         ,                              ,                   ,20,289
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Feb 14 Payroll,0,0,830.71,2/25/2020,J,1868, , ,,         ,                              ,                   ,20,325
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,Feb 28 Payroll,0,0,1089.76,2/28/2020,J,1869, , ,,         ,                              ,                   ,20,349
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,March 13 Payroll,0,0,1115.75,3/25/2020,J,1870, , ,,         ,                              ,                   ,20,368
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,March 27 Payroll,0,0,1055.33,3/31/2020,J,1871, , ,,         ,                              ,                   ,20,379
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,April 10 Payroll,0,0,1082.44,4/10/2020,J,1872, , ,,         ,                              ,                   ,20,390
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,April 24 Payroll,0,0,719,4/23/2020,J,1875, , ,,         ,                              ,                   ,20,405
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,May 8 Payroll,0,0,719,5/19/2020,J,1878, , ,,         ,                              ,                   ,20,430
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,May 22 Fringe,0,0,753.71,5/22/2020,J,1879, , ,,         ,                              ,                   ,20,433
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,June 5 Payroll,0,0,747.03,6/18/2020,J,1884, , ,,         ,                              ,                   ,20,473
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,June 19 & June 22 Payrolls,0,0,726.41,6/19/2020,J,1886, , ,,         ,                              ,                   ,20,475
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,July 17 Cert Payroll,0,0,726.41,6/30/2020,J,1889, , ,,         ,                              ,                   ,20,491
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,July 2 Cert Payroll,0,0,726.41,6/30/2020,J,1888, , ,,         ,                              ,                   ,20,484
Delta/Greely School District,20,100,549,100,000,354,FICA CONTRIBUTION,July 31 Cert Payroll,0,0,726.38,6/30/2020,J,1890, , ,,         ,                              ,                   ,20,492
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Aug 16 Payroll,0,0,6276.45,8/28/2019,J,1766, , ,,         ,                              ,                   ,20,48
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,August 30 Payroll,0,0,6291.99,8/29/2019,J,1767, , ,,         ,                              ,                   ,20,53
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Sept 13 Payroll,0,0,6291.99,9/13/2019,J,1768, , ,,         ,                              ,                   ,20,71
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Sept 27 Payroll,0,0,6291.99,10/3/2019,J,1808, , ,,         ,                              ,                   ,20,97
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Oct 11 Payroll,0,0,6291.99,10/11/2019,J,1809, , ,,         ,                              ,                   ,20,105
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,October 25 Payroll,0,0,6291.99,10/25/2019,J,1835, , ,,         ,                              ,                   ,20,124
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Nov 8 Payroll,0,0,6291.99,11/8/2019,J,1841, , ,,         ,                              ,                   ,20,146
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Nov 22 Payroll & Rebate,0,0,6292,11/26/2019,J,1851, , ,,         ,                              ,                   ,20,170
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Dec 6 Payroll,0,0,6291.99,12/6/2019,J,1856, , ,,         ,                              ,                   ,20,182
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Dec 20 Payroll,0,0,6291.99,12/20/2019,J,1857, , ,,         ,                              ,                   ,20,202
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,January 3 Payroll,0,0,6291.99,1/6/2020,J,1860, , ,,         ,                              ,                   ,20,211
Delta/Greely School District,20,100,549,100,000,355,RETIREMENT - TRS,Jan 17 Payroll,0,0,6291.99,1/29/2020,J,1863, , ,,         ,                              ,                   ,20,275
