District_Name,Fiscal_Year,Fund_Code,Org,Account,Object_Code,Project,Doc_Line_Number,Description,Invoice_Date,Date,Period,Vendor_Name,Amount
Valdez City School District,20,100,1,100,361,,PR 200401   9,Employer Contributions,7/1/2019,7/1/2019,0420,,"26,299.99"
Valdez City School District,20,100,1,100,361,,PR 200501   7,Employer Contributions,7/1/2019,7/1/2019,0520,,"52,599.98"
Valdez City School District,20,100,1,100,361,,PR 200502   7,Employer Contributions,7/1/2019,7/1/2019,0520,,"23,969.67"
Valdez City School District,20,100,1,100,362,,PR 190801   8,Employer Contributions,7/1/2019,7/1/2019,0819,,775.53
Valdez City School District,20,100,1,100,362,,PR 190902   5,Employer Contributions,7/1/2019,7/1/2019,0919,,29.99
Valdez City School District,20,100,1,100,362,,PR 190903  11,Employer Contributions,7/1/2019,7/1/2019,0919,,797.61
Valdez City School District,20,100,1,100,362,,PR 191001  11,Employer Contributions,7/1/2019,7/1/2019,1019,,372.30
Valdez City School District,20,100,1,100,362,,PR 191101  11,Employer Contributions,7/1/2019,7/1/2019,1119,,74.54
Valdez City School District,20,100,1,100,362,,PR 191202  11,Employer Contributions,7/1/2019,7/1/2019,1219,,74.46
Valdez City School District,20,100,1,100,362,,PR 200100   6,Employer Contributions,7/1/2019,7/1/2019,0120,,1.03
Valdez City School District,20,100,1,100,362,,PR 200101  11,Employer Contributions,7/1/2019,7/1/2019,0120,,74.26
Valdez City School District,20,100,1,100,362,,PR 200201  11,Employer Contributions,7/1/2019,7/1/2019,0220,,75.61
Valdez City School District,20,100,1,100,362,,PR 200300   9,Employer Contributions,7/1/2019,7/1/2019,0320,,73.16
Valdez City School District,20,100,1,100,362,,PR 200401  10,Employer Contributions,7/1/2019,7/1/2019,0420,,72.00
Valdez City School District,20,100,1,100,362,,PR 200501   8,Employer Contributions,7/1/2019,7/1/2019,0520,,144.62
Valdez City School District,20,100,1,100,362,,PR 200502   8,Employer Contributions,7/1/2019,7/1/2019,0520,,72.00
Valdez City School District,20,100,1,100,362,,PR 200506   4,Employer Contributions,7/1/2019,7/1/2019,0520,,2.60
Valdez City School District,20,100,1,100,362,,JV   2312  23,,7/1/2019,7/1/2019,0620,,"-2,000.00"
Valdez City School District,20,100,1,100,363,,PR 190801   9,Employer Contributions,7/1/2019,7/1/2019,0819,,"1,070.23"
Valdez City School District,20,100,1,100,363,,PR 190902   6,Employer Contributions,7/1/2019,7/1/2019,0919,,41.38
Valdez City School District,20,100,1,100,363,,PR 190903  12,Employer Contributions,7/1/2019,7/1/2019,0919,,"1,100.67"
Valdez City School District,20,100,1,100,363,,PR 191001  12,Employer Contributions,7/1/2019,7/1/2019,1019,,"1,130.30"
Valdez City School District,20,100,1,100,363,,PR 191101  12,Employer Contributions,7/1/2019,7/1/2019,1119,,"1,131.34"
Valdez City School District,20,100,1,100,363,,PR 191202  12,Employer Contributions,7/1/2019,7/1/2019,1219,,"1,129.97"
Valdez City School District,20,100,1,100,363,,PR 200100   7,Employer Contributions,7/1/2019,7/1/2019,0120,,15.69
Valdez City School District,20,100,1,100,363,,PR 200101  12,Employer Contributions,7/1/2019,7/1/2019,0120,,"1,126.83"
Valdez City School District,20,100,1,100,363,,PR 200201  12,Employer Contributions,7/1/2019,7/1/2019,0220,,"1,147.49"
Valdez City School District,20,100,1,100,363,,PR 200300  10,Employer Contributions,7/1/2019,7/1/2019,0320,,"1,110.57"
Valdez City School District,20,100,1,100,363,,PR 200401  11,Employer Contributions,7/1/2019,7/1/2019,0420,,"1,092.76"
Valdez City School District,20,100,1,100,363,,PR 200501   9,Employer Contributions,7/1/2019,7/1/2019,0520,,"2,194.87"
Valdez City School District,20,100,1,100,363,,PR 200502   9,Employer Contributions,7/1/2019,7/1/2019,0520,,"1,092.77"
Valdez City School District,20,100,1,100,363,,PR 200506   5,Employer Contributions,7/1/2019,7/1/2019,0520,,39.59
Valdez City School District,20,100,1,100,363,,JV   2311  38,,7/1/2019,7/1/2019,0620,,"-10,500.00"
Valdez City School District,20,100,1,100,364,,PR 190801  10,Employer Contributions,7/1/2019,7/1/2019,0819,,"1,022.30"
Valdez City School District,20,100,1,100,364,,PR 190902   7,Employer Contributions,7/1/2019,7/1/2019,0919,,39.53
Valdez City School District,20,100,1,100,364,,PR 190903  13,Employer Contributions,7/1/2019,7/1/2019,0919,,"1,083.73"
Valdez City School District,20,100,1,100,364,,PR 191001  13,Employer Contributions,7/1/2019,7/1/2019,1019,,"1,233.03"
Valdez City School District,20,100,1,100,364,,PR 191101  13,Employer Contributions,7/1/2019,7/1/2019,1119,,"1,218.12"
Valdez City School District,20,100,1,100,364,,PR 191202  13,Employer Contributions,7/1/2019,7/1/2019,1219,,"1,188.23"
Valdez City School District,20,100,1,100,364,,CL  37172   1,FY 20 FICA ADMIN FEE,7/1/2019,7/1/2019,0120,"    67 ALASKA, STATE OF DIV.RETIREMNT & BENEFIT",236.82
Valdez City School District,20,100,1,100,364,,CL  37172   1,FY 20 FICA ADMIN FEE,7/1/2019,7/1/2019,0120,"    67 ALASKA, STATE OF DIV.RETIREMNT & BENEFIT",-236.82
Valdez City School District,20,100,1,100,364,,PO  55880   1,FY 20 FICA ADMIN FEE,7/1/2019,7/1/2019,0120,"    67 ALASKA, STATE OF DIV.RETIREMNT & BENEFIT",236.82
Valdez City School District,20,100,1,100,364,,PR 200100   8,Employer Contributions,7/1/2019,7/1/2019,0120,,14.99
Valdez City School District,20,100,1,100,364,,PR 200101  13,Employer Contributions,7/1/2019,7/1/2019,0120,,"1,187.23"
Valdez City School District,20,100,1,100,364,,PR 200201  13,Employer Contributions,7/1/2019,7/1/2019,0220,,"1,319.57"
Valdez City School District,20,100,1,100,364,,PR 200300  11,Employer Contributions,7/1/2019,7/1/2019,0320,,"1,133.48"
Valdez City School District,20,100,1,100,364,,PR 200401  12,Employer Contributions,7/1/2019,7/1/2019,0420,,"1,043.83"
Valdez City School District,20,100,1,100,364,,PR 200501  10,Employer Contributions,7/1/2019,7/1/2019,0520,,"2,096.59"
Valdez City School District,20,100,1,100,364,,PR 200502  10,Employer Contributions,7/1/2019,7/1/2019,0520,,"1,043.83"
Valdez City School District,20,100,1,100,364,,PR 200506   6,Employer Contributions,7/1/2019,7/1/2019,0520,,37.80
Valdez City School District,20,100,1,100,365,,PR 190801  11,Employer Contributions,7/1/2019,7/1/2019,0819,,"8,855.16"
Valdez City School District,20,100,1,100,365,,PR 190903  14,Employer Contributions,7/1/2019,7/1/2019,0919,,"8,699.30"
Valdez City School District,20,100,1,100,365,,PR 191001  14,Employer Contributions,7/1/2019,7/1/2019,1019,,"8,699.28"
Valdez City School District,20,100,1,100,365,,PR 191101  14,Employer Contributions,7/1/2019,7/1/2019,1119,,"8,699.28"
Valdez City School District,20,100,1,100,365,,PR 191202  14,Employer Contributions,7/1/2019,7/1/2019,1219,,"8,699.29"
Valdez City School District,20,100,1,100,365,,PR 200100   9,Employer Contributions,7/1/2019,7/1/2019,0120,,129.84
Valdez City School District,20,100,1,100,365,,PR 200101  14,Employer Contributions,7/1/2019,7/1/2019,0120,,"8,699.29"
Valdez City School District,20,100,1,100,365,,PR 200201  14,Employer Contributions,7/1/2019,7/1/2019,0220,,"8,699.29"
Valdez City School District,20,100,1,100,365,,PR 200300  12,Employer Contributions,7/1/2019,7/1/2019,0320,,"8,699.29"
Valdez City School District,20,100,1,100,365,,PR 200401  13,Employer Contributions,7/1/2019,7/1/2019,0420,,"8,699.29"
Valdez City School District,20,100,1,100,365,,PR 200501  11,Employer Contributions,7/1/2019,7/1/2019,0520,,"17,398.58"
Valdez City School District,20,100,1,100,365,,PR 200502  11,Employer Contributions,7/1/2019,7/1/2019,0520,,"8,699.35"
Valdez City School District,20,100,1,100,365,,PR 200506   7,Employer Contributions,7/1/2019,7/1/2019,0520,,169.81
Valdez City School District,20,100,1,100,366,,PR 190902   8,Employer Contributions,7/1/2019,7/1/2019,0919,,599.78
Valdez City School District,20,100,1,100,366,,PR 190903  15,Employer Contributions,7/1/2019,7/1/2019,0919,,599.78
Valdez City School District,20,100,1,100,366,,PR 191001  15,Employer Contributions,7/1/2019,7/1/2019,1019,,599.78
Valdez City School District,20,100,1,100,366,,PR 191101  15,Employer Contributions,7/1/2019,7/1/2019,1119,,599.78
Valdez City School District,20,100,1,100,366,,PR 191202  15,Employer Contributions,7/1/2019,7/1/2019,1219,,599.78
Valdez City School District,20,100,1,100,366,,PR 200101  15,Employer Contributions,7/1/2019,7/1/2019,0120,,599.78
Valdez City School District,20,100,1,100,366,,PR 200201  15,Employer Contributions,7/1/2019,7/1/2019,0220,,599.78
Valdez City School District,20,100,1,100,366,,PR 200300  13,Employer Contributions,7/1/2019,7/1/2019,0320,,599.78
Valdez City School District,20,100,1,100,366,,PR 200401  14,Employer Contributions,7/1/2019,7/1/2019,0420,,599.78
Valdez City School District,20,100,1,100,366,,PR 200501  12,Employer Contributions,7/1/2019,7/1/2019,0520,,"1,199.56"
Valdez City School District,20,100,1,100,366,,PR 200502  12,Employer Contributions,7/1/2019,7/1/2019,0520,,599.78
Valdez City School District,20,100,1,100,366,,JV   2306  23,,7/1/2019,7/1/2019,0620,,"-7,197.36"
Valdez City School District,20,100,1,100,367,,PR 190801  12,Employer Contributions,7/1/2019,7/1/2019,0819,,"1,636.25"
Valdez City School District,20,100,1,100,367,,PR 190903  16,Employer Contributions,7/1/2019,7/1/2019,0919,,"1,539.01"
Valdez City School District,20,100,1,100,367,,PR 191001  16,Employer Contributions,7/1/2019,7/1/2019,1019,,665.50
Valdez City School District,20,100,1,100,367,,PR 191101  16,Employer Contributions,7/1/2019,7/1/2019,1119,,287.22
Valdez City School District,20,100,1,100,367,,PR 200101  16,Employer Contributions,7/1/2019,7/1/2019,0120,,"1,613.85"
Valdez City School District,20,100,1,100,367,,PR 200201  16,Employer Contributions,7/1/2019,7/1/2019,0220,,"1,613.85"
Valdez City School District,20,100,1,100,367,,PR 200300  14,Employer Contributions,7/1/2019,7/1/2019,0320,,"1,613.85"
Valdez City School District,20,100,1,100,367,,PR 200401  15,Employer Contributions,7/1/2019,7/1/2019,0420,,"1,613.85"
Valdez City School District,20,100,1,100,367,,PR 200501  13,Employer Contributions,7/1/2019,7/1/2019,0520,,"3,227.70"
Valdez City School District,20,100,1,100,367,,PR 200502  13,Employer Contributions,7/1/2019,7/1/2019,0520,,"1,613.86"
Valdez City School District,20,100,1,100,451,,CL  36252   1,Calculator Set (10),7/1/2019,8/9/2019,0819,   851 SCHOOL SPECIALTY INC,"1,487.06"
Valdez City School District,20,100,1,100,451,,CL  36252   1,Calculator Set (10),7/1/2019,8/9/2019,0819,   851 SCHOOL SPECIALTY INC,"-1,487.06"
Valdez City School District,20,100,1,100,451,,CL  36318   1,Web Subscription,7/1/2019,7/1/2019,0819,"   967 KELLY, JENNIFER J",62.93
Valdez City School District,20,100,1,100,451,,CL  36318   1,Web Subscription,7/1/2019,7/1/2019,0819,"   967 KELLY, JENNIFER J",-62.93
Valdez City School District,20,100,1,100,451,,PO  54131   1,Calculator Set (10),7/1/2019,7/1/2019,0819,   851 SCHOOL SPECIALTY INC,"1,487.06"
Valdez City School District,20,100,1,100,451,,PO  54314   2,Teaching,7/1/2019,7/1/2019,0819,"  3458 VALDEZ FOOD CACHE, LLC",171.39
Valdez City School District,20,100,1,100,451,,PO  54320   2,Teaching,7/1/2019,7/1/2019,0819,   228 EAGLE QUALITY CENTER,34.49
Valdez City School District,20,100,1,100,451,,PO  54322   1,Teaching Supplies,7/1/2019,7/1/2019,0819,  1267 AMAZON CREDIT PLAN,177.52
Valdez City School District,20,100,1,100,451,,PO  54378   1,Web Subscription,7/1/2019,7/1/2019,0819,"   967 KELLY, JENNIFER J",62.93
Valdez City School District,20,100,1,100,451,,PO  54416   1,Teaching Supplies,7/1/2019,7/1/2019,0819,  1267 AMAZON CREDIT PLAN,18.72
Valdez City School District,20,100,1,100,451,,PO  54416   2,Teaching Supplies,7/1/2019,7/1/2019,0819,  1267 AMAZON CREDIT PLAN,103.14
Valdez City School District,20,100,1,100,451,,CL  36356   6,Teaching,7/1/2019,7/1/2019,0919,"  3458 VALDEZ FOOD CACHE, LLC",171.39
Valdez City School District,20,100,1,100,451,,CL  36356   6,Teaching,7/1/2019,7/1/2019,0919,"  3458 VALDEZ FOOD CACHE, LLC",-171.39
Valdez City School District,20,100,1,100,451,,CL  36403  13,Teaching,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,34.49
Valdez City School District,20,100,1,100,451,,CL  36403  13,Teaching,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,-34.49
Valdez City School District,20,100,1,100,451,,CL  36403  16,Teaching Supplies,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,75.42
Valdez City School District,20,100,1,100,451,,CL  36403  16,Teaching Supplies,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,-75.42
Valdez City School District,20,100,1,100,451,,CL  36455   1,Teaching Supplies,7/1/2019,9/18/2019,0919,  3280 SHEILA'S CERAMICS,584.40
Valdez City School District,20,100,1,100,451,,CL  36455   1,Teaching Supplies,7/1/2019,9/18/2019,0919,  3280 SHEILA'S CERAMICS,-584.40
Valdez City School District,20,100,1,100,451,,CL  36468   1,Teaching Supplies,7/1/2019,7/1/2019,0919,"  3276 CALVERT-THOMPSON, TYLER DAYNE",378.84
Valdez City School District,20,100,1,100,451,,CL  36468   1,Teaching Supplies,7/1/2019,7/1/2019,0919,"  3276 CALVERT-THOMPSON, TYLER DAYNE",-378.84
Valdez City School District,20,100,1,100,451,,CL  36468   2,Teaching Supplies,7/1/2019,7/1/2019,0919,"  3276 CALVERT-THOMPSON, TYLER DAYNE",64.99
Valdez City School District,20,100,1,100,451,,CL  36468   2,Teaching Supplies,7/1/2019,7/1/2019,0919,"  3276 CALVERT-THOMPSON, TYLER DAYNE",-64.99
Valdez City School District,20,100,1,100,451,,CL  36491   1,VHS Bul Boards,7/1/2019,7/1/2019,0919,"  2998 VERFAILLIE, PAMELA B",23.35
Valdez City School District,20,100,1,100,451,,CL  36491   1,VHS Bul Boards,7/1/2019,7/1/2019,0919,"  2998 VERFAILLIE, PAMELA B",-23.35
Valdez City School District,20,100,1,100,451,,CL  36503   1,Teaching Supplies,7/1/2019,7/1/2019,0919,  3164 BANK OF AMERICA,177.52
Valdez City School District,20,100,1,100,451,,CL  36503   1,Teaching Supplies,7/1/2019,7/1/2019,0919,  3164 BANK OF AMERICA,-177.52
Valdez City School District,20,100,1,100,451,,CL  36513   1,Sheila's Ceramics Order,7/1/2019,9/25/2019,0919,"   249 CARLILE TRANSPORTATION SYSTEMS, INC.",289.17
Valdez City School District,20,100,1,100,451,,CL  36513   1,Sheila's Ceramics Order,7/1/2019,9/25/2019,0919,"   249 CARLILE TRANSPORTATION SYSTEMS, INC.",-289.17
Valdez City School District,20,100,1,100,451,,PO  54541   1,Teaching Supplies,7/1/2019,7/1/2019,0919,"   967 KELLY, JENNIFER J",174.33
Valdez City School District,20,100,1,100,451,,PO  54564   1,Teaching Supplies,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,75.42
Valdez City School District,20,100,1,100,451,,PO  54583   1,Spectra Scopt,7/1/2019,7/1/2019,0919,   318 NASCO MODESTO,107.40
Valdez City School District,20,100,1,100,451,,PO  54583   2,,7/1/2019,7/1/2019,0919,   318 NASCO MODESTO,26.85
Valdez City School District,20,100,1,100,451,,PO  54584   1,Teaching Supplies,7/1/2019,7/1/2019,0919,  3280 SHEILA'S CERAMICS,584.40
Valdez City School District,20,100,1,100,451,,PO  54629   1,Teaching Supplies,7/1/2019,7/1/2019,0919,"  3276 CALVERT-THOMPSON, TYLER DAYNE",378.84
Valdez City School District,20,100,1,100,451,,PO  54629   2,Teaching Supplies,7/1/2019,7/1/2019,0919,"  3276 CALVERT-THOMPSON, TYLER DAYNE",64.99
Valdez City School District,20,100,1,100,451,,PO  54638   1,Supplies - Art,7/1/2019,7/1/2019,0919,  1267 AMAZON CREDIT PLAN,36.63
Valdez City School District,20,100,1,100,451,,PO  54654   1,Teaching Supplies,7/1/2019,7/1/2019,0919,  3637 OFFICE DEPOT,66.56
Valdez City School District,20,100,1,100,451,,PO  54654   2,Teaching Supplies,7/1/2019,7/1/2019,0919,  3637 OFFICE DEPOT,63.95
Valdez City School District,20,100,1,100,451,,PO  54676   1,Supplies,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,65.62
Valdez City School District,20,100,1,100,451,,PO  54676   2,Supplies,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,36.24
Valdez City School District,20,100,1,100,451,,PO  54676   3,Supplies,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,12.76
Valdez City School District,20,100,1,100,451,,PO  54678   1,VHS Bul Boards,7/1/2019,7/1/2019,0919,"  2998 VERFAILLIE, PAMELA B",23.35
Valdez City School District,20,100,1,100,451,,PO  54701   1,Sheila's Ceramics Order,7/1/2019,7/1/2019,0919,"   249 CARLILE TRANSPORTATION SYSTEMS, INC.",289.17
Valdez City School District,20,100,1,100,451,,PO  54702   1,Senior PWSC Parent Nt,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,147.15
Valdez City School District,20,100,1,100,451,,PO  54706   1,Teaching,7/1/2019,7/1/2019,0919,  4110 MINDS-I,161.99
Valdez City School District,20,100,1,100,451,,PO  54714   2,Teaching Supplies,7/1/2019,7/1/2019,0919,   228 EAGLE QUALITY CENTER,13.90
Valdez City School District,20,100,1,100,451,,CL  36588   2,Supplies,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,65.62
Valdez City School District,20,100,1,100,451,,CL  36588   2,Supplies,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,-65.62
Valdez City School District,20,100,1,100,451,,CL  36588   3,Supplies,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,36.24
Valdez City School District,20,100,1,100,451,,CL  36588   3,Supplies,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,-36.24
Valdez City School District,20,100,1,100,451,,CL  36588   4,Supplies,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,12.76
Valdez City School District,20,100,1,100,451,,CL  36588   4,Supplies,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,-12.76
Valdez City School District,20,100,1,100,451,,CL  36588   5,Senior PWSC Parent Nt,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,147.15
Valdez City School District,20,100,1,100,451,,CL  36588   5,Senior PWSC Parent Nt,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,-147.15
Valdez City School District,20,100,1,100,451,,CL  36588   7,Teaching Supplies,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,13.90
Valdez City School District,20,100,1,100,451,,CL  36588   7,Teaching Supplies,7/1/2019,7/1/2019,1019,   228 EAGLE QUALITY CENTER,-13.90
Valdez City School District,20,100,1,100,451,,CL  36654   1,Spectra Scopt,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,107.40
Valdez City School District,20,100,1,100,451,,CL  36654   1,Spectra Scopt,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,-107.40
Valdez City School District,20,100,1,100,451,,CL  36654   2,,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,26.85
Valdez City School District,20,100,1,100,451,,CL  36654   2,,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,-26.85
Valdez City School District,20,100,1,100,451,,CL  36654   3,Teaching Supplies,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,66.56
Valdez City School District,20,100,1,100,451,,CL  36654   3,Teaching Supplies,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,-66.56
Valdez City School District,20,100,1,100,451,,CL  36654   4,Teaching Supplies,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,63.95
Valdez City School District,20,100,1,100,451,,CL  36654   4,Teaching Supplies,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,-63.95
Valdez City School District,20,100,1,100,451,,CL  36654   6,Teaching,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,161.99
Valdez City School District,20,100,1,100,451,,CL  36654   6,Teaching,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,-161.99
Valdez City School District,20,100,1,100,451,,CL  36654   9,Teaching Supplies,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,18.72
Valdez City School District,20,100,1,100,451,,CL  36654   9,Teaching Supplies,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,-18.72
Valdez City School District,20,100,1,100,451,,CL  36654  10,Teaching Supplies,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,103.14
Valdez City School District,20,100,1,100,451,,CL  36654  10,Teaching Supplies,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,-103.14
Valdez City School District,20,100,1,100,451,,CL  36654  23,Supplies - Art,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,36.63
Valdez City School District,20,100,1,100,451,,CL  36654  23,Supplies - Art,7/1/2019,7/1/2019,1019,  3164 BANK OF AMERICA,-36.63
Valdez City School District,20,100,1,100,451,,CL  36672   1,Teach Supplies,7/1/2019,7/1/2019,1019,"    63 MORRISON, TRISTY",66.74
Valdez City School District,20,100,1,100,451,,CL  36672   1,Teach Supplies,7/1/2019,7/1/2019,1019,"    63 MORRISON, TRISTY",-66.74
Valdez City School District,20,100,1,100,451,,CL  36672   3,Teaching Supplies,7/1/2019,7/1/2019,1019,"    63 MORRISON, TRISTY",23.37
Valdez City School District,20,100,1,100,451,,CL  36672   3,Teaching Supplies,7/1/2019,7/1/2019,1019,"    63 MORRISON, TRISTY",-23.37
Valdez City School District,20,100,1,100,451,,CL  36672   4,Teaching Supplies,7/1/2019,7/1/2019,1019,"    63 MORRISON, TRISTY",32.56
Valdez City School District,20,100,1,100,451,,CL  36672   4,Teaching Supplies,7/1/2019,7/1/2019,1019,"    63 MORRISON, TRISTY",-32.56
