District_Name,Fiscal_Year,Fund_Code,Function_Code,School_Code,Program_Code,Object_Code,Account_Name,Description,Budget,Encumbrance,Amount,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_Year,BatchNo
Delta/Greely School District,19,100,549,100,0,315,TEACHER,May 10 Payroll,0,0,52311.44,5/10/2019,J,1729, , ,,         ,                              ,                   ,19,459
Delta/Greely School District,19,100,549,100,0,315,TEACHER,,0,0,52591.39,5/24/2019,J,1737, , ,,         ,                              ,                   ,19,484
Delta/Greely School District,19,100,549,100,0,315,TEACHER,June 7 Payroll,0,0,52591.39,6/7/2019,J,1740, , ,,         ,                              ,                   ,19,511
Delta/Greely School District,19,100,549,100,0,315,TEACHER,June 21 Payroll,0,0,52591.39,6/21/2019,J,1741, , ,,         ,                              ,                   ,19,542
Delta/Greely School District,19,100,549,100,0,315,TEACHER,July 5 Cert Payroll,0,0,52591.39,6/26/2019,J,1744, , ,,         ,                              ,                   ,19,552
Delta/Greely School District,19,100,549,100,0,315,TEACHER,August 2 Cert Payroll,0,0,52591.92,6/26/2019,J,1746, , ,,         ,                              ,                   ,19,559
Delta/Greely School District,19,100,549,100,0,315,TEACHER,July 19 Cert Payroll,0,0,52591.39,6/26/2019,J,1745, , ,,         ,                              ,                   ,19,555
Delta/Greely School District,19,100,549,100,0,315,TEACHER,,0,0,-254.66,6/28/2019,J,1800, , ,,         ,                              ,                   ,19,575
Delta/Greely School District,19,100,549,100,0,315,TEACHER,Correcting Eileen Mock's FY19,0,0,-64092,6/30/2019,J,1819, , ,,         ,                              ,                   ,19,582
Delta/Greely School District,19,100,549,100,0,319,Certified Leave Cashin,May 10 Payroll,0,0,8288.08,5/10/2019,J,1729, , ,,         ,                              ,                   ,19,459
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,September 14 Payroll,0,0,910,9/13/2018,J,1615, , ,,         ,                              ,                   ,19,87
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,Sept 28 Payroll,0,0,500,10/1/2018,J,1623, , ,,         ,                              ,                   ,19,111
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,October 12 Payroll,0,0,495,10/12/2018,J,1630, , ,,         ,                              ,                   ,19,125
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,October 26 Payroll,0,0,1705,10/26/2018,J,1638, , ,,         ,                              ,                   ,19,149
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,Nov 9 Payroll,0,0,1315,11/12/2018,J,1644, , ,,         ,                              ,                   ,19,175
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,November 21 Payroll,0,0,710,11/20/2018,J,1658, , ,,         ,                              ,                   ,19,197
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,December 7 Payroll,0,0,1390,12/10/2018,J,1669, , ,,         ,                              ,                   ,19,223
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,Dec 21 Payroll,0,0,1535,12/20/2018,J,1672, , ,,         ,                              ,                   ,19,236
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,January 4 Payroll,0,0,2665,1/3/2019,J,1674, , ,,         ,                              ,                   ,19,243
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,February 1 Payroll,0,0,1580,2/6/2019,J,1689, , ,,         ,                              ,                   ,19,304
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,February 15 Payroll,0,0,2460,2/15/2019,J,1699, , ,,         ,                              ,                   ,19,323
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,March 1 Payroll,0,0,2920,3/8/2019,J,1706, , ,,         ,                              ,                   ,19,363
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,March 15 Payroll,0,0,1425,3/15/2019,J,1708, , ,,         ,                              ,                   ,19,376
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,March 29 Payroll,0,0,635,3/29/2019,J,1716, , ,,         ,                              ,                   ,19,391
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,April 12 Payroll,0,0,590,4/15/2019,J,1722, , ,,         ,                              ,                   ,19,414
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,April 26 Payroll,0,0,2375,5/1/2019,J,1728, , ,,         ,                              ,                   ,19,448
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,May 10 Payroll,0,0,940,5/10/2019,J,1729, , ,,         ,                              ,                   ,19,459
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,,0,0,1200,5/24/2019,J,1737, , ,,         ,                              ,                   ,19,484
Delta/Greely School District,19,100,549,100,0,329,SUBSTITUTE/TEMPORARY,June 7 Payroll,0,0,645,6/7/2019,J,1740, , ,,         ,                              ,                   ,19,511
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,September 14 Payroll,0,0,16762.66,9/13/2018,J,1615, , ,,         ,                              ,                   ,19,87
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,Sept 28 Payroll,0,0,16762.66,10/1/2018,J,1623, , ,,         ,                              ,                   ,19,111
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,October 12 Payroll,0,0,16762.66,10/12/2018,J,1630, , ,,         ,                              ,                   ,19,125
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,October 26 Payroll,0,0,16762.66,10/26/2018,J,1638, , ,,         ,                              ,                   ,19,149
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,Nov 9 Payroll,0,0,16762.66,11/12/2018,J,1644, , ,,         ,                              ,                   ,19,175
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,November 21 Payroll,0,0,16762.66,11/20/2018,J,1658, , ,,         ,                              ,                   ,19,197
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,December 7 Payroll,0,0,16762.66,12/10/2018,J,1669, , ,,         ,                              ,                   ,19,223
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,Dec 21 Payroll,0,0,16762.66,12/20/2018,J,1672, , ,,         ,                              ,                   ,19,236
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,January 4 Payroll,0,0,16762.66,1/3/2019,J,1674, , ,,         ,                              ,                   ,19,243
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,January 18 Payroll,0,0,16762.66,1/18/2019,J,1685, , ,,         ,                              ,                   ,19,264
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,February 1 Payroll,0,0,16762.66,2/6/2019,J,1689, , ,,         ,                              ,                   ,19,304
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,February 15 Payroll,0,0,16762.66,2/15/2019,J,1699, , ,,         ,                              ,                   ,19,323
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,March 1 Payroll,0,0,16762.66,3/8/2019,J,1706, , ,,         ,                              ,                   ,19,363
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,March 15 Payroll,0,0,16762.66,3/15/2019,J,1708, , ,,         ,                              ,                   ,19,376
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,March 29 Payroll,0,0,16762.66,3/29/2019,J,1716, , ,,         ,                              ,                   ,19,391
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,April 12 Payroll,0,0,16762.66,4/15/2019,J,1722, , ,,         ,                              ,                   ,19,414
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,April 26 Payroll,0,0,16762.66,5/1/2019,J,1728, , ,,         ,                              ,                   ,19,448
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,May 10 Payroll,0,0,16762.66,5/10/2019,J,1729, , ,,         ,                              ,                   ,19,459
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,,0,0,16762.66,5/24/2019,J,1737, , ,,         ,                              ,                   ,19,484
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,Health Insurance Adjusrtment,0,0,5000.27,6/28/2019,J,1786, , ,,         ,                              ,                   ,19,573
Delta/Greely School District,19,100,549,100,0,351,INSURANCE-LIFE AND HEALTH,Correcting Eileen Mock's FY19,0,0,-15611.92,6/30/2019,J,1819, , ,,         ,                              ,                   ,19,582
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,August 17 Payroll,0,0,20.87,8/16/2018,J,1583, , ,,         ,                              ,                   ,19,49
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,August 31 Payroll,0,0,20.87,8/31/2018,J,1607, , ,,         ,                              ,                   ,19,70
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,September 14 Payroll,0,0,21.28,9/13/2018,J,1615, , ,,         ,                              ,                   ,19,87
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,Sept 28 Payroll,0,0,21.12,10/1/2018,J,1623, , ,,         ,                              ,                   ,19,111
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,October 12 Payroll,0,0,21.12,10/12/2018,J,1630, , ,,         ,                              ,                   ,19,125
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,October 26 Payroll,0,0,21.6,10/26/2018,J,1638, , ,,         ,                              ,                   ,19,149
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,Nov 9 Payroll,0,0,21.43,11/12/2018,J,1644, , ,,         ,                              ,                   ,19,175
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,November 21 Payroll,0,0,21.2,11/20/2018,J,1658, , ,,         ,                              ,                   ,19,197
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,December 7 Payroll,0,0,21.47,12/10/2018,J,1669, , ,,         ,                              ,                   ,19,223
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,Dec 21 Payroll,0,0,21.54,12/20/2018,J,1672, , ,,         ,                              ,                   ,19,236
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,January 4 Payroll,0,0,22.04,1/3/2019,J,1674, , ,,         ,                              ,                   ,19,243
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,January 18 Payroll,0,0,20.92,1/18/2019,J,1685, , ,,         ,                              ,                   ,19,264
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,February 1 Payroll,0,0,21.61,2/6/2019,J,1689, , ,,         ,                              ,                   ,19,304
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,February 15 Payroll,0,0,21.9,2/15/2019,J,1699, , ,,         ,                              ,                   ,19,323
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,March 1 Payroll,0,0,22.07,3/8/2019,J,1706, , ,,         ,                              ,                   ,19,363
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,March 15 Payroll,0,0,21.49,3/15/2019,J,1708, , ,,         ,                              ,                   ,19,376
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,March 29 Payroll,0,0,21.18,3/29/2019,J,1716, , ,,         ,                              ,                   ,19,391
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,April 12 Payroll,0,0,21.15,4/15/2019,J,1722, , ,,         ,                              ,                   ,19,414
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,April 26 Payroll,0,0,21.87,5/1/2019,J,1728, , ,,         ,                              ,                   ,19,448
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,May 10 Payroll,0,0,24.62,5/10/2019,J,1729, , ,,         ,                              ,                   ,19,459
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,,0,0,21.56,5/24/2019,J,1737, , ,,         ,                              ,                   ,19,484
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,June 7 Payroll,0,0,21.33,6/7/2019,J,1740, , ,,         ,                              ,                   ,19,511
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,June 21 Payroll,0,0,21.08,6/21/2019,J,1741, , ,,         ,                              ,                   ,19,542
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,July 19 Cert Payroll,0,0,21.08,6/26/2019,J,1745, , ,,         ,                              ,                   ,19,555
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,July 5 Cert Payroll,0,0,21.08,6/26/2019,J,1744, , ,,         ,                              ,                   ,19,552
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,August 2 Cert Payroll,0,0,21.08,6/26/2019,J,1746, , ,,         ,                              ,                   ,19,559
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,Unemployment Adjustment,0,0,-530.66,6/28/2019,J,1784, , ,,         ,                              ,                   ,19,573
Delta/Greely School District,19,100,549,100,0,352,UNEMPLOYMENT INSURANCE,Correcting Eileen Mock's FY19,0,0,-25.58,6/30/2019,J,1819, , ,,         ,                              ,                   ,19,582
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,August 17 Payroll,0,0,780.79,8/16/2018,J,1583, , ,,         ,                              ,                   ,19,49
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,August 31 Payroll,0,0,780.79,8/31/2018,J,1607, , ,,         ,                              ,                   ,19,70
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,September 14 Payroll,0,0,798.32,9/13/2018,J,1615, , ,,         ,                              ,                   ,19,87
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,Sept 28 Payroll,0,0,792.18,10/1/2018,J,1623, , ,,         ,                              ,                   ,19,111
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,October 12 Payroll,0,0,792.11,10/12/2018,J,1630, , ,,         ,                              ,                   ,19,125
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,October 26 Payroll,0,0,810.26,10/26/2018,J,1638, , ,,         ,                              ,                   ,19,149
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,Nov 9 Payroll,0,0,802.76,11/12/2018,J,1644, , ,,         ,                              ,                   ,19,175
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,November 21 Payroll,0,0,795.34,11/20/2018,J,1658, , ,,         ,                              ,                   ,19,197
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,December 7 Payroll,0,0,805.53,12/10/2018,J,1669, , ,,         ,                              ,                   ,19,223
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,Dec 21 Payroll,0,0,807.71,12/20/2018,J,1672, , ,,         ,                              ,                   ,19,236
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,January 4 Payroll,0,0,824.65,1/3/2019,J,1674, , ,,         ,                              ,                   ,19,243
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,January 18 Payroll,0,0,784.68,1/18/2019,J,1685, , ,,         ,                              ,                   ,19,264
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,February 1 Payroll,0,0,805.07,2/6/2019,J,1689, , ,,         ,                              ,                   ,19,304
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,February 15 Payroll,0,0,821.58,2/15/2019,J,1699, , ,,         ,                              ,                   ,19,323
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,March 1 Payroll,0,0,828.48,3/8/2019,J,1706, , ,,         ,                              ,                   ,19,363
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,March 15 Payroll,0,0,806.07,3/15/2019,J,1708, , ,,         ,                              ,                   ,19,376
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,March 29 Payroll,0,0,794.21,3/29/2019,J,1716, , ,,         ,                              ,                   ,19,391
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,April 12 Payroll,0,0,791.88,4/15/2019,J,1722, , ,,         ,                              ,                   ,19,414
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,April 26 Payroll,0,0,820.31,5/1/2019,J,1728, , ,,         ,                              ,                   ,19,448
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,May 10 Payroll,0,0,923.12,5/10/2019,J,1729, , ,,         ,                              ,                   ,19,459
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,,0,0,805.22,5/24/2019,J,1737, , ,,         ,                              ,                   ,19,484
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,June 7 Payroll,0,0,798.55,6/7/2019,J,1740, , ,,         ,                              ,                   ,19,511
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,June 21 Payroll,0,0,788.86,6/21/2019,J,1741, , ,,         ,                              ,                   ,19,542
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,July 19 Cert Payroll,0,0,788.86,6/26/2019,J,1745, , ,,         ,                              ,                   ,19,555
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,July 5 Cert Payroll,0,0,788.86,6/26/2019,J,1744, , ,,         ,                              ,                   ,19,552
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,August 2 Cert Payroll,0,0,788.88,6/26/2019,J,1746, , ,,         ,                              ,                   ,19,559
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,Worker's Comp Adjustment,0,0,-12000.25,6/28/2019,J,1785, , ,,         ,                              ,                   ,19,573
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,Correcting FY18 Workers Comp P,0,0,2661.61,6/30/2019,J,1820, , ,,         ,                              ,                   ,19,583
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,Additional W/Comp Audit Correc,0,0,8,6/30/2019,J,1821, , ,,         ,                              ,                   ,19,584
Delta/Greely School District,19,100,549,100,0,353,WORKER'S COMPENSATION,Correcting Eileen Mock's FY19,0,0,-961.48,6/30/2019,J,1819, , ,,         ,                              ,                   ,19,582
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,August 17 Payroll,0,0,864.89,8/16/2018,J,1583, , ,,         ,                              ,                   ,19,49
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,August 31 Payroll,0,0,644.71,8/31/2018,J,1607, , ,,         ,                              ,                   ,19,70
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,September 14 Payroll,0,0,820.55,9/13/2018,J,1615, , ,,         ,                              ,                   ,19,87
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,Sept 28 Payroll,0,0,789.18,10/1/2018,J,1623, , ,,         ,                              ,                   ,19,111
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,October 12 Payroll,0,0,788.79,10/12/2018,J,1630, , ,,         ,                              ,                   ,19,125
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,October 26 Payroll,0,0,881.37,10/26/2018,J,1638, , ,,         ,                              ,                   ,19,149
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,Nov 9 Payroll,0,0,851.55,11/12/2018,J,1644, , ,,         ,                              ,                   ,19,175
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,November 21 Payroll,0,0,805.24,11/20/2018,J,1658, , ,,         ,                              ,                   ,19,197
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,December 7 Payroll,0,0,857.27,12/10/2018,J,1669, , ,,         ,                              ,                   ,19,223
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,Dec 21 Payroll,0,0,867.65,12/20/2018,J,1672, , ,,         ,                              ,                   ,19,236
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,January 4 Payroll,0,0,953.63,1/3/2019,J,1674, , ,,         ,                              ,                   ,19,243
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,January 18 Payroll,0,0,749.99,1/18/2019,J,1685, , ,,         ,                              ,                   ,19,264
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,February 1 Payroll,0,0,870.62,2/6/2019,J,1689, , ,,         ,                              ,                   ,19,304
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,February 15 Payroll,0,0,938.43,2/15/2019,J,1699, , ,,         ,                              ,                   ,19,323
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,March 1 Payroll,0,0,973.59,3/8/2019,J,1706, , ,,         ,                              ,                   ,19,363
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,March 15 Payroll,0,0,859.23,3/15/2019,J,1708, , ,,         ,                              ,                   ,19,376
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,March 29 Payroll,0,0,798.81,3/29/2019,J,1716, , ,,         ,                              ,                   ,19,391
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,April 12 Payroll,0,0,795.37,4/15/2019,J,1722, , ,,         ,                              ,                   ,19,414
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,April 26 Payroll,0,0,931.92,5/1/2019,J,1728, , ,,         ,                              ,                   ,19,448
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,May 10 Payroll,0,0,942.31,5/10/2019,J,1729, , ,,         ,                              ,                   ,19,459
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,,0,0,845.61,5/24/2019,J,1737, , ,,         ,                              ,                   ,19,484
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,June 7 Payroll,0,0,811.96,6/7/2019,J,1740, , ,,         ,                              ,                   ,19,511
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,June 21 Payroll,0,0,762.6,6/21/2019,J,1741, , ,,         ,                              ,                   ,19,542
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,August 2 Cert Payroll,0,0,762.61,6/26/2019,J,1746, , ,,         ,                              ,                   ,19,559
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,July 5 Cert Payroll,0,0,762.6,6/26/2019,J,1744, , ,,         ,                              ,                   ,19,552
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,July 19 Cert Payroll,0,0,762.6,6/26/2019,J,1745, , ,,         ,                              ,                   ,19,555
Delta/Greely School District,19,100,549,100,0,354,FICA CONTRIBUTION,Correcting Eileen Mock's FY19,0,0,-929.24,6/30/2019,J,1819, , ,,         ,                              ,                   ,19,582
Delta/Greely School District,19,100,549,100,0,355,RETIREMENT - TRS,August 17 Payroll,0,0,6537.89,8/16/2018,J,1583, , ,,         ,                              ,                   ,19,49
Delta/Greely School District,19,100,549,100,0,355,RETIREMENT - TRS,August 31 Payroll,0,0,6537.89,8/31/2018,J,1607, , ,,         ,                              ,                   ,19,70
Delta/Greely School District,19,100,549,100,0,355,RETIREMENT - TRS,September 14 Payroll,0,0,6570.3,9/13/2018,J,1615, , ,,         ,                              ,                   ,19,87
Delta/Greely School District,19,100,549,100,0,355,RETIREMENT - TRS,Sept 28 Payroll,0,0,6570.3,10/1/2018,J,1623, , ,,         ,                              ,                   ,19,111
Delta/Greely School District,19,100,549,100,0,355,RETIREMENT - TRS,October 12 Payroll,0,0,6570.3,10/12/2018,J,1630, , ,,         ,                              ,                   ,19,125
Delta/Greely School District,19,100,549,100,0,355,RETIREMENT - TRS,October 26 Payroll,0,0,6570.3,10/26/2018,J,1638, , ,,         ,                              ,                   ,19,149
Delta/Greely School District,19,100,549,100,0,355,RETIREMENT - TRS,Nov 9 Payroll,0,0,6570.3,11/12/2018,J,1644, , ,,         ,                              ,                   ,19,175
