School_District,Account_Name,V_Counter,Description,Debit,Credit,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_year,BatchNo,Cancel_Flag,CP_Dummy,Unnamed_19,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code
Cordova City School District,511.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,11.9,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,511,0,376
Cordova City School District,512.000.TRS Retire Contribu,1-07012018,FY19 Adopted Budget,0,15972,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,512,0,367
Cordova City School District,512.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,1951,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,512,0,368
Cordova City School District,512 Superintendent.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,4925.36,0,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,512,0,375
Cordova City School District,512 Superintendent.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,11570.33,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,512,0,375
Cordova City School District,512 Superintendent.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,677.65,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,512,0,376
Cordova City School District,512 Superintendent.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,1952.36,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,512,0,376
Cordova City School District,550.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,7275,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,550,0,368
Cordova City School District,550.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,2143.62,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,550,0,376
Cordova City School District,550.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,5721.28,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,550,0,376
Cordova City School District,600.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,13384,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,0,600,0,368
Cordova City School District,600.000.TRS OnBehalf,1-06302019,FY19 OnBehalf Expense TRS,0,6917.6,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,600,0,375
Cordova City School District,600.000.TRS OnBehalf,2-04302019,TRS OnBehalf as of April 30 20,6917.6,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,600,0,375
Cordova City School District,600.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,6462.26,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,600,0,376
Cordova City School District,600.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,7281.09,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,600,0,376
Cordova City School District,700 Student Activities.000.TRS On-Behalf,1-06302019,FY19 OnBehalf Expense TRS,0,5764.66,6/30/2019,J,1108,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,700,0,375
Cordova City School District,700 Student Activities.000.TRS On-Behalf,2-04302019,TRS OnBehalf as of April 30 20,5764.66,0,4/30/2019,J,1059,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,700,0,375
Cordova City School District,700.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,3244.98,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,700,0,376
Cordova City School District,760.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,125.01,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,760,0,376
Cordova City School District,760.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,409.3,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,760,0,376
Cordova City School District,790 Food Services.000.PERS On-Behalf,1-06302019,FY19 OnBehalf Expense PERS,1894.14,0,6/30/2019,J,1109,,,,         ,                              ,                   ,19,779,   ,1-06302019,,19,100,0,790,0,376
Cordova City School District,790 Food Services.000.PERS On-Behalf,2-04302019,PERS OnBehalf as of April 30 2,5348.46,0,4/30/2019,J,1060,,,,         ,                              ,                   ,19,664,   ,2-04302019,,19,100,0,790,0,376
Cordova City School District,100 Regular.000.Salaries Teachers,10-05242019,May 24 2019 Payroll PC11,60624,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,10-05242019,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,1-06302019,FY19 Revised Budget F100 +,0,82854.5,6/30/2019,B,493,,,,         ,                              ,                   ,19,738,   ,1-06302019,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,11-11232018,November 23 2018 Payroll,60622.5,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,11-11232018,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,12-12242018,December 24 2018 Payroll,60622.5,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,12-12242018,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,13-03252019,March 25 2019 Payroll PC09,60122.5,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,13-03252019,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,14-04252019,April 25 2019 Payroll PC10,62623,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,14-04252019,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,2-06252019,Payroll June 25 2019 PC12,65048.1,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,2-06252019,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,3-06282019,June 28 2019 Payroll PC13,60623.83,0,6/28/2019,J,1070,,,,         ,                              ,                   ,19,710,   ,3-06282019,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,4-09252018,Sept 25 2018 Payroll PC03,59976.5,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,4-09252018,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,5-01252019,January 25 2019 Payroll PC07,60622.5,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,5-01252019,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,6-08242018,August 24 2018 Payroll,60522.12,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,6-08242018,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,7-02252019,February 25 2019 Payroll PC08,60122.5,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,7-02252019,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,8-10252018,October 25 2018 Payroll PC04,62173.67,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,8-10252018,,19,100,10,100,0,315
Cordova City School District,100 Regular.000.Salaries Teachers,9-07012018,FY19 Adopted Budget,0,667699,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,9-07012018,,19,100,10,100,0,315
Cordova City School District,100.000.Salaries Non-Cert S,10-02252019,February 25 2019 Payroll PC08,5037.2,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,10-02252019,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,1-06252019,Payroll June 25 2019 PC12,1400,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,11-10252018,October 25 2018 Payroll PC04,6969.28,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,11-10252018,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,12-07012018,FY19 Adopted Budget,0,35000,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,12-07012018,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,2-09252018,Sept 25 2018 Payroll PC03,3390.26,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,2-09252018,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,3-11232018,November 23 2018 Payroll,6292.26,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,3-11232018,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,4-12242018,December 24 2018 Payroll,5392.25,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,4-12242018,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,5-01252019,January 25 2019 Payroll PC07,2762.2,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,5-01252019,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,6-03252019,March 25 2019 Payroll PC09,3649.7,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,6-03252019,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,7-08242018,August 24 2018 Payroll,100,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,7-08242018,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,8-04252019,April 25 2019 Payroll PC10,7308.32,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,8-04252019,,19,100,10,100,0,329
Cordova City School District,100.000.Salaries Non-Cert S,9-05242019,May 24 2019 Payroll PC11,5537.2,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,9-05242019,,19,100,10,100,0,329
Cordova City School District,100 Regular.000.Insurance - Health/Life,10-05242019,May 24 2019 Payroll PC11,13871.88,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,10-05242019,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,1-06252019,Payroll June 25 2019 PC12,14403.59,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,11-02252019,February 25 2019 Payroll PC08,13871.88,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,11-02252019,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,12-10252018,October 25 2018 Payroll PC04,13142.36,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,12-10252018,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,13-07012018,FY19 Adopted Budget,0,197505,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,13-07012018,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,14-07012018,August 2018 Health Insurance,13142.36,0,7/1/2018,J,18000891,,,,         ,                              ,                   ,19,56,   ,14-07012018,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,2-06282019,June 28 2019 Payroll PC13,13645.04,0,6/28/2019,J,1070,,,,         ,                              ,                   ,19,710,   ,2-06282019,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,3-09252018,Sept 25 2018 Payroll PC03,13142.36,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,3-09252018,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,4-11232018,November 23 2018 Payroll,13142.36,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,4-11232018,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,5-12242018,December 24 2018 Payroll,13142.36,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,5-12242018,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,6-01252019,January 25 2019 Payroll PC07,15430.4,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,6-01252019,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,7-03252019,March 25 2019 Payroll PC09,13871.88,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,7-03252019,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,8-08242018,August 24 2018 Payroll,13142.36,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,8-08242018,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.Insurance - Health/Life,9-04252019,April 25 2019 Payroll PC10,13871.88,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,9-04252019,,19,100,10,100,0,351
Cordova City School District,100 Regular.000.FICA Contributions,10-05242019,May 24 2019 Payroll PC11,1163.89,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,10-05242019,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,1-06252019,Payroll June 25 2019 PC12,1128.99,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,11-02252019,February 25 2019 Payroll PC08,1120.75,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,11-02252019,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,12-10252018,October 25 2018 Payroll PC04,1302.56,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,12-10252018,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,2-06282019,June 28 2019 Payroll PC13,746.6,0,6/28/2019,J,1070,,,,         ,                              ,                   ,19,710,   ,2-06282019,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,3-09252018,Sept 25 2018 Payroll PC03,998.13,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,3-09252018,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,4-11232018,November 23 2018 Payroll,1229.16,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,4-11232018,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,5-12242018,December 24 2018 Payroll,1160.36,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,5-12242018,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,6-01252019,January 25 2019 Payroll PC07,950.48,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,6-01252019,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,7-03252019,March 25 2019 Payroll PC09,1016.08,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,7-03252019,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,8-08242018,August 24 2018 Payroll,754.06,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,8-08242018,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.FICA Contributions,9-04252019,April 25 2019 Payroll PC10,1328.33,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,9-04252019,,19,100,10,100,0,354
Cordova City School District,100 Regular.000.TRS Retire Contributions,10-04252019,April 25 2019 Payroll PC10,8046.03,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,10-04252019,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,1-06302019,FY19 TRS DCF Credits,0,11643.92,6/30/2019,J,1112,,,,         ,                              ,                   ,19,788,   ,1-06302019,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,11-05242019,May 24 2019 Payroll PC11,7794.99,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,11-05242019,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,12-02252019,February 25 2019 Payroll PC08,7731.97,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,12-02252019,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,13-10252018,October 25 2018 Payroll PC04,7977.58,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,13-10252018,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,2-06252019,Payroll June 25 2019 PC12,7614.36,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,2-06252019,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,3-06282019,June 28 2019 Payroll PC13,7614.35,0,6/28/2019,J,1070,,,,         ,                              ,                   ,19,710,   ,3-06282019,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,4-09252018,Sept 25 2018 Payroll PC03,8288.16,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,4-09252018,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,5-11232018,November 23 2018 Payroll,7782.75,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,5-11232018,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,6-12242018,December 24 2018 Payroll,7794.77,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,6-12242018,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,7-01252019,January 25 2019 Payroll PC07,7794.78,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,7-01252019,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,8-03252019,March 25 2019 Payroll PC09,7731.97,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,8-03252019,,19,100,10,100,0,355
Cordova City School District,100 Regular.000.TRS Retire Contributions,9-08242018,August 24 2018 Payroll,6846.49,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,9-08242018,,19,100,10,100,0,355
Cordova City School District,100.000.PERS Retire Contrib,1-06302019,FY19 PERS DCF Credits,0,446.74,6/30/2019,J,1113,,,,         ,                              ,                   ,19,788,   ,1-06302019,,19,100,10,100,0,356
Cordova City School District,100 Regular.000.Insurance - Health/Life,10-07012018,August 2018 Life Insurance,76.8,0,7/1/2018,J,18000891,,,,         ,                              ,                   ,19,56,   ,10-07012018,,19,100,10,100,0,361
Cordova City School District,100 Regular.000.Insurance - Health/Life,1-06302019,June 2019 PY August Liabilitie,0,86.4,6/30/2019,J,1106,,,,         ,                              ,                   ,19,778,   ,1-06302019,,19,100,10,100,0,361
Cordova City School District,100 Regular.000.Insurance - Health/Life,11-04252019,April 25 2019 Payroll PC10,96,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,11-04252019,,19,100,10,100,0,361
Cordova City School District,100 Regular.000.Insurance - Health/Life,12-05242019,May 24 2019 Payroll PC11,96,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,12-05242019,,19,100,10,100,0,361
Cordova City School District,100 Regular.000.Insurance - Health/Life,13-02252019,February 25 2019 Payroll PC08,96,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,13-02252019,,19,100,10,100,0,361
