District_Name,Fiscal_Year,Fund_Code,Object_Code,Function_Code,Program_Code,School_Code,Account_Name,Demo_Desc,Date,Description,Debit,Credit,Amount
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,3/31/2020,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,3/31/2020,REDACTED,"6,741.89",,6741.89
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,4/30/2020,REDACTED,"6,741.89",,6741.89
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,4/30/2020,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,5/31/2020,REDACTED,"6,750.18",,6750.18
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,5/31/2020,REDACTED,"8,060.90",,8060.9
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,6/9/2020,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,6/9/2020,REDACTED,"6,741.89",,6741.89
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,6/11/2020,REDACTED,"6,741.89",,6741.89
Chugach School District,20,100,310,100,300,0,Certificated Salaries,,6/11/2020,REDACTED,"5,645.58",,5645.58
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,8/31/2019,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,8/31/2019,REDACTED,"5,690.26",,5690.26
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,8/31/2019,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,8/31/2019,REDACTED,"4,664.99",,4664.99
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,9/30/2019,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,9/30/2019,REDACTED,"5,690.26",,5690.26
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,9/30/2019,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,9/30/2019,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,10/31/2019,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,10/31/2019,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,10/31/2019,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,10/31/2019,REDACTED,"4,948.12",,4948.12
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,11/30/2019,REDACTED,"4,664.99",,4664.99
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,11/30/2019,REDACTED,"5,690.26",,5690.26
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,11/30/2019,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,11/30/2019,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,12/31/2019,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,12/31/2019,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,12/31/2019,REDACTED,"5,690.26",,5690.26
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,12/31/2019,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,1/31/2020,REDACTED,"4,624.30",,4624.3
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,1/31/2020,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,1/31/2020,REDACTED,"6,229.33",,6229.33
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,1/31/2020,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,2/29/2020,REDACTED,"5,590.76",,5590.76
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,2/29/2020,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,2/29/2020,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,2/29/2020,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,3/31/2020,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,3/31/2020,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,3/31/2020,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,3/31/2020,REDACTED,"5,807.16",,5807.16
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,4/30/2020,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,4/30/2020,REDACTED,"5,807.16",,5807.16
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,4/30/2020,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,4/30/2020,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,5/31/2020,REDACTED,"5,315.85",,5315.85
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,5/31/2020,REDACTED,"5,705.66",,5705.66
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,5/31/2020,REDACTED,"5,664.85",,5664.85
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,5/31/2020,REDACTED,"5,807.16",,5807.16
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,6/29/2020,REDACTED,"5,807.16",,5807.16
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,6/29/2020,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,6/29/2020,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,6/29/2020,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,6/30/2020,REDACTED,"4,772.00",,4772
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,6/30/2020,REDACTED,"5,807.16",,5807.16
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,6/30/2020,REDACTED,"5,318.00",,5318
Chugach School District,20,100,310,100,400,0,Certificated Salaries,,6/30/2020,REDACTED,"4,990.42",,4990.42
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,8/31/2019,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,8/31/2019,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,8/31/2019,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,9/30/2019,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,9/30/2019,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,9/30/2019,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,10/31/2019,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,10/31/2019,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,10/31/2019,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,11/30/2019,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,11/30/2019,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,11/30/2019,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,12/31/2019,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,12/31/2019,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,12/31/2019,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,1/31/2020,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,1/31/2020,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,1/31/2020,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,2/29/2020,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,2/29/2020,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,2/29/2020,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,3/31/2020,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,3/31/2020,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,3/31/2020,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,4/30/2020,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,4/30/2020,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,4/30/2020,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,5/31/2020,REDACTED,"7,533.53",,7533.53
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,5/31/2020,REDACTED,"8,055.75",,8055.75
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,5/31/2020,REDACTED,"7,011.23",,7011.23
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,6/9/2020,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,6/11/2020,REDACTED,"6,300.83",,6300.83
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,6/29/2020,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,6/29/2020,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,6/30/2020,REDACTED,"6,737.58",,6737.58
Chugach School District,20,100,310,140,610,0,Certificated Salaries,,6/30/2020,REDACTED,"5,864.00",,5864
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,8/31/2019,REDACTED,"1,459.33",,1459.33
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,8/31/2019,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,8/31/2019,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,8/31/2019,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,9/30/2019,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,9/30/2019,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,9/30/2019,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,9/30/2019,REDACTED,"1,485.60",,1485.6
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,10/31/2019,REDACTED,742.8,,742.8
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,10/31/2019,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,10/31/2019,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,10/31/2019,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,11/30/2019,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,11/30/2019,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,11/30/2019,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,12/31/2019,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,12/31/2019,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,12/31/2019,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,1/31/2020,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,1/31/2020,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,1/31/2020,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,2/29/2020,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,2/29/2020,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,2/29/2020,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,3/31/2020,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,3/31/2020,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,3/31/2020,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,4/30/2020,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,4/30/2020,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,4/30/2020,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,5/31/2020,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,5/31/2020,REDACTED,"6,489.01",,6489.01
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,5/31/2020,REDACTED,"4,922.39",,4922.39
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,6/29/2020,REDACTED,"8,200.60",,8200.6
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,6/29/2020,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,6/29/2020,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,6/30/2020,REDACTED,,"2,589.33",-2589.33
Chugach School District,20,100,310,140,620,0,Certificated Salaries,T. Wimer salary adjustment,6/30/2020,REDACTED,"4,116.83",,4116.83
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,6/30/2020,REDACTED,"6,858.70",,6858.7
Chugach School District,20,100,310,140,620,0,Certificated Salaries,,6/30/2020,REDACTED,"5,427.25",,5427.25
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,8/31/2019,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,9/30/2019,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,10/31/2019,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,11/30/2019,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,12/31/2019,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,1/31/2020,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,2/29/2020,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,3/31/2020,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,4/30/2020,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,5/31/2020,REDACTED,"4,791.72",,4791.72
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,6/29/2020,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,140,630,0,Certificated Salaries,,6/30/2020,REDACTED,"4,007.58",,4007.58
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,8/31/2019,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,9/30/2019,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,10/31/2019,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,11/30/2019,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,12/31/2019,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,1/31/2020,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,2/29/2020,REDACTED,"4,453.24",,4453.24
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,3/31/2020,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,4/30/2020,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,5/31/2020,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,6/9/2020,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,200,400,0,Certificated Salaries,,6/11/2020,REDACTED,"5,536.42",,5536.42
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,7/31/2019,REDACTED,"4,500.00",,4500
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,7/31/2019,REDACTED,"4,837.50",,4837.5
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,8/31/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,8/31/2019,REDACTED,"4,500.00",,4500
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,9/30/2019,REDACTED,"4,500.00",,4500
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,9/30/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,10/31/2019,REDACTED,"4,500.00",,4500
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,10/31/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,11/30/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,11/30/2019,REDACTED,"4,049.95",,4049.95
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,12/31/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,12/31/2019,REDACTED,"4,500.00",,4500
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,1/31/2020,REDACTED,"5,228.75",,5228.75
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,1/31/2020,REDACTED,"4,500.00",,4500
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,2/29/2020,REDACTED,"10,500.00",,10500
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,2/29/2020,REDACTED,"10,287.50",,10287.5
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,3/31/2020,REDACTED,"4,500.00",,4500
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,3/31/2020,REDACTED,"5,287.50",,5287.5
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,4/30/2020,REDACTED,"5,287.50",,5287.5
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,4/30/2020,REDACTED,"4,049.95",,4049.95
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,5/31/2020,REDACTED,"5,287.50",,5287.5
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,5/31/2020,REDACTED,"4,274.98",,4274.98
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,6/30/2020,REDACTED,"4,049.95",,4049.95
Chugach School District,20,100,310,220,100,0,Certificated Salaries,,6/30/2020,REDACTED,"5,875.00",,5875
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,7/31/2019,REDACTED,"4,837.50",,4837.5
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,8/31/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,9/30/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,10/31/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,11/30/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,12/31/2019,REDACTED,"4,700.00",,4700
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,1/31/2020,REDACTED,"5,228.75",,5228.75
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,2/29/2020,REDACTED,"10,287.50",,10287.5
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,3/31/2020,REDACTED,"5,287.50",,5287.5
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,4/30/2020,REDACTED,"5,287.50",,5287.5
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,5/31/2020,REDACTED,"5,287.50",,5287.5
Chugach School District,20,100,310,400,100,0,Certificated Salaries,,6/30/2020,REDACTED,"5,875.00",,5875
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,8/31/2019,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,9/30/2019,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,10/31/2019,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,11/30/2019,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,12/31/2019,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,1/31/2020,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,2/29/2020,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,3/31/2020,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,4/30/2020,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,400,199,0,Certificated Salaries,,5/31/2020,REDACTED,"1,175.00",,1175
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,7/31/2019,REDACTED,"6,094.54",,6094.54
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,8/31/2019,REDACTED,"9,462.68",,9462.68
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,9/30/2019,REDACTED,"9,462.68",,9462.68
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,10/31/2019,REDACTED,"9,943.84",,9943.84
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,11/30/2019,REDACTED,"10,425.00",,10425
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,12/31/2019,REDACTED,"8,019.19",,8019.19
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,1/31/2020,REDACTED,"9,703.26",,9703.26
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,2/29/2020,REDACTED,"20,425.00",,20425
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,3/31/2020,REDACTED,"10,425.00",,10425
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,4/30/2020,REDACTED,"10,425.00",,10425
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,5/31/2020,REDACTED,"10,425.00",,10425
Chugach School District,20,100,310,510,100,0,Certificated Salaries,,6/30/2020,REDACTED,"12,710.52",,12710.52
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,7/31/2019,REDACTED,"2,674.58",,2674.58
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,8/31/2019,REDACTED,"4,152.68",,4152.68
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,9/30/2019,REDACTED,"4,152.68",,4152.68
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,10/31/2019,REDACTED,"4,363.84",,4363.84
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,11/30/2019,REDACTED,"4,575.00",,4575
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,12/31/2019,REDACTED,"3,519.21",,3519.21
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,1/31/2020,REDACTED,"4,258.26",,4258.26
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,2/29/2020,REDACTED,"4,575.00",,4575
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,3/31/2020,REDACTED,"4,575.00",,4575
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,4/30/2020,REDACTED,"4,575.00",,4575
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,5/31/2020,REDACTED,"4,575.00",,4575
Chugach School District,20,100,310,510,199,0,Certificated Salaries,,6/30/2020,REDACTED,"5,578.00",,5578
Chugach School District,20,100,310,600,100,0,Certificated Salaries,,8/31/2019,REDACTED,"3,537.06",,3537.06
Chugach School District,20,100,310,600,100,0,Certificated Salaries,,9/30/2019,REDACTED,"3,537.06",,3537.06
