District_Name,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code,Account_Name,Description,Budget,Encumbrance,Amount,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_Year,BatchNo
Copper River School District,20,100,6,100,0,315,TEACHER,1/15/2020 PAYROLL LABOR DIST,0,0,26505.59,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,6,100,0,315,TEACHER,02/15/2020 PAYROLL-LABOR DISTR,0,0,25857.21,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,6,100,0,315,TEACHER,03/15/2020 PAYROLL LABOR DIST,0,0,25383.85,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,6,100,0,315,TEACHER,04/15/2020 PAYROLL LABOR DIST,0,0,26127.13,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,6,100,0,315,TEACHER,05/15/2020 PAYROLL LABOR DIST,0,0,26897.05,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,6,100,0,315,TEACHER,07/15/2020 CERT/ADMIN PAYROLL,0,0,25647.05,6/28/2020,J,1437, , ,,         ,                              ,                   ,20,411
Copper River School District,20,100,6,100,0,315,TEACHER,08/15/2020 CERT PAYROLL LABOR,0,0,25627.25,6/29/2020,J,1440, , ,,         ,                              ,                   ,20,414
Copper River School District,20,100,6,100,0,315,TEACHER,06/15/2020 PAYROLL - LABOR DIS,0,0,26022.05,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,7,100,0,315,TEACHER,GJSHS Budget,448062,0,0,2/14/2020,B,579, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,7,100,0,315,TEACHER,8/15/2019 PAYROLL - ADM/CLS,0,0,2868.95,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,7,100,0,315,TEACHER,9/15/2019 PAYROLL - LABOR DIST,0,0,36857.17,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,7,100,0,315,TEACHER,10/15/2019 PAYROLL LABOR DIST,0,0,36720.9,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,7,100,0,315,TEACHER,11/15/2019 PAYROLL LABOR DIST,0,0,33126.22,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,7,100,0,315,TEACHER,12/15/2019 PAYROLL LABOR DIST,0,0,36214.16,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,7,100,0,315,TEACHER,1/15/2020 PAYROLL LABOR DIST,0,0,36843.74,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,7,100,0,315,TEACHER,02/15/2020 PAYROLL-LABOR DISTR,0,0,36843.74,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,7,100,0,315,TEACHER,03/15/2020 PAYROLL LABOR DIST,0,0,36843.74,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,7,100,0,315,TEACHER,04/15/2020 PAYROLL LABOR DIST,0,0,36843.74,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,7,100,0,315,TEACHER,05/15/2020 PAYROLL LABOR DIST,0,0,38551.24,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,7,100,0,315,TEACHER,07/15/2020 CERT/ADMIN PAYROLL,0,0,36093.74,6/28/2020,J,1437, , ,,         ,                              ,                   ,20,411
Copper River School District,20,100,7,100,0,315,TEACHER,08/15/2020 CERT PAYROLL LABOR,0,0,36087.5,6/29/2020,J,1440, , ,,         ,                              ,                   ,20,414
Copper River School District,20,100,7,100,0,315,TEACHER,06/15/2020 PAYROLL - LABOR DIS,0,0,36093.74,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,8,100,0,315,TEACHER,Kenny Lake School,248307,0,0,2/14/2020,B,580, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,8,100,0,315,TEACHER,7/15/2019 CLASS/ADM PAYROLL LA,0,0,500,7/31/2019,J,1291, , ,,         ,                              ,                   ,20,9
Copper River School District,20,100,8,100,0,315,TEACHER,8/15/2019 PAYROLL - ADM/CLS,0,0,5394.06,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,8,100,0,315,TEACHER,9/15/2019 PAYROLL - LABOR DIST,0,0,20359.62,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,8,100,0,315,TEACHER,10/15/2019 PAYROLL LABOR DIST,0,0,20859.62,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,8,100,0,315,TEACHER,11/15/2019 PAYROLL LABOR DIST,0,0,20859.62,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,8,100,0,315,TEACHER,12/15/2019 PAYROLL LABOR DIST,0,0,20859.62,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,8,100,0,315,TEACHER,1/15/2020 PAYROLL LABOR DIST,0,0,20859.62,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,8,100,0,315,TEACHER,02/15/2020 PAYROLL-LABOR DISTR,0,0,20859.62,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,8,100,0,315,TEACHER,03/15/2020 PAYROLL LABOR DIST,0,0,20859.62,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,8,100,0,315,TEACHER,04/15/2020 PAYROLL LABOR DIST,0,0,20859.62,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,8,100,0,315,TEACHER,05/15/2020 PAYROLL LABOR DIST,0,0,21300.87,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,8,100,0,315,TEACHER,07/15/2020 CERT/ADMIN PAYROLL,0,0,20359.62,6/28/2020,J,1437, , ,,         ,                              ,                   ,20,411
Copper River School District,20,100,8,100,0,315,TEACHER,08/15/2020 CERT PAYROLL LABOR,0,0,20350.22,6/29/2020,J,1440, , ,,         ,                              ,                   ,20,414
Copper River School District,20,100,8,100,0,315,TEACHER,06/15/2020 PAYROLL - LABOR DIS,0,0,21883.04,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,99,100,0,315,TEACHER,7/15/2019 CLASS/ADM PAYROLL LA,0,0,1000,7/31/2019,J,1291, , ,,         ,                              ,                   ,20,9
Copper River School District,20,100,99,100,0,315,TEACHER,8/15/2019 PAYROLL - ADM/CLS,0,0,356.74,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,99,100,19,316,EXTRA DUTY,06/15/2020 PAYROLL - LABOR DIS,0,0,3000,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,4,100,0,323,AIDES,Slana School,1836,0,0,2/4/2020,B,577, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,4,100,0,323,AIDES,8/15/2019 PAYROLL - ADM/CLS,0,0,864.45,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,4,100,0,323,AIDES,9/15/2019 PAYROLL - LABOR DIST,0,0,504.9,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,4,100,0,323,AIDES,10/15/2019 PAYROLL LABOR DIST,0,0,826.2,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,4,100,0,323,AIDES,11/15/2019 PAYROLL LABOR DIST,0,0,1147.5,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,4,100,0,323,AIDES,12/15/2019 PAYROLL LABOR DIST,0,0,990.68,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,4,100,0,323,AIDES,1/15/2020 PAYROLL LABOR DIST,0,0,726.75,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,4,100,0,323,AIDES,02/15/2020 PAYROLL-LABOR DISTR,0,0,944.78,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,4,100,0,323,AIDES,03/15/2020 PAYROLL LABOR DIST,0,0,642.6,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,4,100,0,323,AIDES,04/15/2020 PAYROLL LABOR DIST,0,0,1055.7,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,4,100,0,323,AIDES,05/15/2020 PAYROLL LABOR DIST,0,0,925.65,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,4,100,0,323,AIDES,06/15/2020 PAYROLL - LABOR DIS,0,0,459,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,6,100,0,323,AIDES,GES Budget,46856,0,0,2/14/2020,B,578, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,6,100,0,323,AIDES,8/15/2019 PAYROLL - ADM/CLS,0,0,229.44,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,6,100,0,323,AIDES,9/15/2019 PAYROLL - LABOR DIST,0,0,4601.86,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,6,100,0,323,AIDES,10/15/2019 PAYROLL LABOR DIST,0,0,5874.98,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,6,100,0,323,AIDES,11/15/2019 PAYROLL LABOR DIST,0,0,4622.4,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,6,100,0,323,AIDES,12/15/2019 PAYROLL LABOR DIST,0,0,4487.54,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,6,100,0,323,AIDES,1/15/2020 PAYROLL LABOR DIST,0,0,3688.15,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,6,100,0,323,AIDES,02/15/2020 PAYROLL-LABOR DISTR,0,0,3399.86,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,6,100,0,323,AIDES,03/15/2020 PAYROLL LABOR DIST,0,0,7982.49,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,6,100,0,323,AIDES,04/15/2020 PAYROLL LABOR DIST,0,0,8171.15,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,6,100,0,323,AIDES,05/15/2020 PAYROLL LABOR DIST,0,0,8155.4,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,6,100,0,323,AIDES,06/15/2020 PAYROLL - LABOR DIS,0,0,488.38,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,7,100,0,323,AIDES,GJSHS Budget,36848,0,0,2/14/2020,B,579, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,7,100,0,323,AIDES,8/15/2019 PAYROLL - ADM/CLS,0,0,404.28,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,7,100,0,323,AIDES,9/15/2019 PAYROLL - LABOR DIST,0,0,4474.16,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,7,100,0,323,AIDES,10/15/2019 PAYROLL LABOR DIST,0,0,3889.19,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,7,100,0,323,AIDES,11/15/2019 PAYROLL LABOR DIST,0,0,4666.75,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,7,100,0,323,AIDES,12/15/2019 PAYROLL LABOR DIST,0,0,4270.41,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,7,100,0,323,AIDES,1/15/2020 PAYROLL LABOR DIST,0,0,3048.22,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,7,100,0,323,AIDES,02/15/2020 PAYROLL-LABOR DISTR,0,0,4363.43,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,7,100,0,323,AIDES,03/10/2020 PAYROLL - M LEFEVER,0,0,990.82,3/10/2020,J,1395, , ,,         ,                              ,                   ,20,292
Copper River School District,20,100,7,100,0,323,AIDES,03/15/2020 PAYROLL LABOR DIST,0,0,2144.59,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,7,100,0,323,AIDES,04/15/2020 PAYROLL LABOR DIST,0,0,950.82,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,7,100,0,323,AIDES,05/15/2020 PAYROLL LABOR DIST,0,0,795.79,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,7,100,0,323,AIDES,06/15/2020 PAYROLL - LABOR DIS,0,0,165.36,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,8,100,0,323,AIDES,Kenny Lake School,27203,0,0,2/14/2020,B,580, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,8,100,0,323,AIDES,8/15/2019 PAYROLL - ADM/CLS,0,0,460.19,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,8,100,0,323,AIDES,9/15/2019 PAYROLL - LABOR DIST,0,0,2797.66,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,8,100,0,323,AIDES,10/15/2019 PAYROLL LABOR DIST,0,0,3249.34,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,8,100,0,323,AIDES,11/15/2019 PAYROLL LABOR DIST,0,0,3050.92,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,8,100,0,323,AIDES,12/15/2019 PAYROLL LABOR DIST,0,0,2885.98,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,8,100,0,323,AIDES,1/15/2020 PAYROLL LABOR DIST,0,0,2677.88,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,8,100,0,323,AIDES,02/15/2020 PAYROLL-LABOR DISTR,0,0,2461.56,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,8,100,0,323,AIDES,03/15/2020 PAYROLL LABOR DIST,0,0,2128.16,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,8,100,0,323,AIDES,04/15/2020 PAYROLL LABOR DIST,0,0,-1465.26,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,8,100,0,323,AIDES,05/15/2020 PAYROLL LABOR DIST,0,0,1438.27,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,8,100,0,323,AIDES,06/15/2020 PAYROLL - LABOR DIS,0,0,342.49,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,8,100,0,324,SUPPORT STAFF,04/15/2020 PAYROLL LABOR DIST,0,0,5719.5,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,8,100,0,324,SUPPORT STAFF,05/15/2020 PAYROLL LABOR DIST,0,0,1406.9,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,8,100,0,324,SUPPORT STAFF,06/15/2020 PAYROLL - LABOR DIS,0,0,358.08,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,Slana School,3500,0,0,2/4/2020,B,577, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,9/15/2019 PAYROLL - LABOR DIST,0,0,125,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,10/15/2019 PAYROLL LABOR DIST,0,0,375,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,11/15/2019 PAYROLL LABOR DIST,0,0,125,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2019 PAYROLL LABOR DIST,0,0,190,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,1/15/2020 PAYROLL LABOR DIST,0,0,50,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,02/15/2020 PAYROLL-LABOR DISTR,0,0,333.28,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,03/15/2020 PAYROLL LABOR DIST,0,0,522.45,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,GES Budget,7000,0,0,2/14/2020,B,578, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,9/15/2019 PAYROLL - LABOR DIST,0,0,75,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,10/15/2019 PAYROLL LABOR DIST,0,0,429.38,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,11/15/2019 PAYROLL LABOR DIST,0,0,1008.76,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2019 PAYROLL LABOR DIST,0,0,698.18,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,1/15/2020 PAYROLL LABOR DIST,0,0,550,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,02/15/2020 PAYROLL-LABOR DISTR,0,0,3318.34,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,03/15/2020 PAYROLL LABOR DIST,0,0,1128.76,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,GJSHS Budget,10000,0,0,2/14/2020,B,579, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,9/15/2019 PAYROLL - LABOR DIST,0,0,290.25,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,10/15/2019 PAYROLL LABOR DIST,0,0,1168.13,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,11/15/2019 PAYROLL LABOR DIST,0,0,1569.33,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2019 PAYROLL LABOR DIST,0,0,761.88,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,1/15/2020 PAYROLL LABOR DIST,0,0,257.45,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,02/15/2020 PAYROLL-LABOR DISTR,0,0,771.28,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,03/15/2020 PAYROLL LABOR DIST,0,0,380,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,Kenny Lake School,7100,0,0,2/14/2020,B,580, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,9/15/2019 PAYROLL - LABOR DIST,0,0,187.5,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,10/15/2019 PAYROLL LABOR DIST,0,0,552.5,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,11/15/2019 PAYROLL LABOR DIST,0,0,560.63,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2019 PAYROLL LABOR DIST,0,0,1331.03,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,1/15/2020 PAYROLL LABOR DIST,0,0,125,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,02/15/2020 PAYROLL-LABOR DISTR,0,0,549.38,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,03/15/2020 PAYROLL LABOR DIST,0,0,884.38,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,99,100,0,329,SUB/TEMP NON-CERTIFIED,District Wide,10000,0,0,2/14/2020,B,581, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,99,100,0,329,SUB/TEMP NON-CERTIFIED,1/15/2020 PAYROLL LABOR DIST,0,0,2000,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,4,100,0,360,EMPLOYEE BENEFITS,Slana School,31274,0,0,2/4/2020,B,577, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,6,100,0,360,EMPLOYEE BENEFITS,GES Budget,198759,0,0,2/14/2020,B,578, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,7,100,0,360,EMPLOYEE BENEFITS,GJSHS Budget,261104,0,0,2/14/2020,B,579, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,8,100,0,360,EMPLOYEE BENEFITS,Kenny Lake School,156038,0,0,2/14/2020,B,580, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,99,100,0,360,EMPLOYEE BENEFITS,District Wide,35765,0,0,2/14/2020,B,581, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,4,100,0,361,INSURANCE - LIFE & HEALTH,9/15/2019 PAYROLL - LABOR DIST,0,0,1989.71,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,4,100,0,361,INSURANCE - LIFE & HEALTH,10/15/2019 PAYROLL LABOR DIST,0,0,1990.02,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,4,100,0,361,INSURANCE - LIFE & HEALTH,11/15/2019 PAYROLL LABOR DIST,0,0,1990.47,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,4,100,0,361,INSURANCE - LIFE & HEALTH,12/15/2019 PAYROLL LABOR DIST,0,0,1990.62,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,4,100,0,361,INSURANCE - LIFE & HEALTH,1/15/2020 PAYROLL LABOR DIST,0,0,1990.57,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,4,100,0,361,INSURANCE - LIFE & HEALTH,02/15/2020 PAYROLL-LABOR DISTR,0,0,1990.57,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
