District_Name,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code,Account_Name,Reference_Number,Requisition_Number,PO_Number,Description,Exclude1,Exclude2,Name,Exclude3,Journal,Amount
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12319,0,0,"DEED PROFESSIONAL DEVELOPMENT- 4, 6, & 7",,,,,Deposits,"$4,100.11"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12322,0,0,AUGUST FOUNDATION,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12323,0,0,CREDIT CARD DEPOSITS,,,,,Deposits,$650.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12324,0,0,CASH DEPOSIT,,,,,Deposits,"$28,762.07"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12325,0,0,ACTIVITY 8,,,,,Deposits,"$1,906.40"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12326,0,0,AUGUST BOROUGH,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12328,0,0,CREDIT CARD RECEIPTS 8.27 & 28,,,,,Deposits,$520.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12329,0,0,CASH DEPOSIT,,,,,Deposits,"$2,013.23"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12330,0,0,CREDIT CARD RECEIPTS 8/29 THRU 9/9,,,,,Deposits,$407.50
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12332,0,0,CASH DEPOSIT,,,,,Deposits,"$13,563.85"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12333,0,0,PIA SCHOOL INCENTIVE,,,,,Deposits,"$7,305.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12334,0,0,CASH DEPOSIT,,,,,Deposits,"$4,278.16"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12335,0,0,NSF- ANDERSON,,,,,Deposits,-$255.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12336,0,0,CASH DEPOSIT,,,,,Deposits,$511.68
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12337,0,0,SEPT FOUNDATION PAYMENT,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12338,0,0,SEPT BOROUGH ,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12339,0,0,CREDIT CARD FEES SEPT 10  -25TH,,,,,Deposits,"$1,600.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12340,0,0,CREDIT CARD DEPOSITS 9/26 THRU 10/12,,,,,Deposits,"$1,225.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12341,0,0,OCT FOUNDATION,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12342,0,0,CASH DEPOSIT,,,,,Deposits,"$1,447.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12343,0,0,CASH DEPOSIT,,,,,Deposits,"$6,018.27"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12345,0,0,CASH DEPOSIT,,,,,Deposits,"$5,085.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12346,0,0,CREDIT CARD RECEIPTS 10/21 THRU 10/27,,,,,Deposits,$150.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12347,0,0,OCT BOROUGH APPROPRIATION,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12348,0,0,CASH DEPOSIT,,,,,Deposits,$243.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12349,0,0,CREDIT CARD RECEIPTS 10/28 THRU 11/7/2018,,,,,Deposits,$280.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12353,0,0,CREDIT CARD RECEIPTS 8/17 THRU 8/26,,,,,Deposits,"$10,490.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12354,0,0,CREDIT CARD RECEIPTS,,,,,Deposits,$193.50
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12355,0,0,NOV FOUNDATION,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12357,0,0,CASH DEPOSIT,,,,,Deposits,"$6,527.49"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12358,0,0,DEPOSIT ADJUST - SHELLEY JOHNSTON,,,,,Deposits,-$89.10
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12361,0,0,CREDIT CARD RECEIPTS 11/15 THRU 11/26,,,,,Deposits,$300.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12365,0,0,NOVEMBER BOROUGH,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12368,0,0,CASH DEPOSIT,,,,,Deposits,"$3,011.20"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12372,0,0,CREDIT CARD RECEIPTS 11/28 THRU 12/9/2018,,,,,Deposits,$330.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12373,0,0,CASH DEPOSIT,,,,,Deposits,"$3,555.40"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12374,0,0,CREDIT CARD RECEIPTS 12/10 THRU 12/15,,,,,Deposits,$992.50
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12375,0,0,DECEMBER FOUNDATION,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12377,0,0,DECEMBER BOROUGH ,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12379,0,0,CREDIT CARD RECEIPTS- DEC 16TH THRU ,,,,,Deposits,$150.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12384,0,0,CASH DEPOSIT,,,,,Deposits,"$5,818.96"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12385,0,0,JANUARY 2019 FOUNDATION,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12386,0,0,CREDIT CARDS RECEIPTS 12.30 THRU 1.12.19,,,,,Deposits,$90.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12387,0,0,CASH DEPOSIT,,,,,Deposits,"$1,070.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12390,0,0,JANUARY BOROUGH ALLOCATION,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12397,0,0,CASH DEPOSIT,,,,,Deposits,"$2,995.15"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12398,0,0,QUALITY SCHOOLS,,,,,Deposits,"$19,390.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12400,0,0,CASH DEPOSIT,,,,,Deposits,"$5,397.69"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12401,0,0,CREDIT CARD DEPOSITS 1/29 THRU 2/6/2019,,,,,Deposits,$165.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12405,0,0,FEBREUART FOUNDATION,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12407,0,0,FEBRUARY BOROUGH,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12409,0,0,CASH DEPOSIT,,,,,Deposits,"$2,750.68"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12410,0,0,CASH DEPOSIT,,,,,Deposits,"$5,554.98"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12411,0,0,CREDIT CARD PAYMENTS FEB 26- MARCH 12TH,,,,,Deposits,$950.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12413,0,0,MARCH FOUNDATION PAYMENT,,,,,Deposits,"$494,868.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12417,0,0,CREDIT CARD 3.13 THRU 3.27.2019,,,,,Deposits,$300.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12418,0,0,MARCH BOROUGH APPROPRIATION,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12419,0,0,CASH DEPOSIT,,,,,Deposits,"$9,775.33"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12420,0,0,CASH DEPOSIT,,,,,Deposits,"$7,304.73"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12422,0,0,CASH DEPOSIT,,,,,Deposits,$90.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12423,0,0,CASH DEPOSIT,,,,,Deposits,"$2,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12424,0,0,CREDIT CARD RECEIPTS MARCH 28- APRIL 23,,,,,Deposits,"$1,277.50"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12428,0,0,APRIL FOUNDATION PAYMENT,,,,,Deposits,"$514,997.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12432,0,0,CASH DEPOSIT,,,,,Deposits,"$3,760.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12434,0,0,APRIL BOROUGH ,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12435,0,0,CREDIT CARD RECEIPTS 4.24 - 4/28,,,,,Deposits,$140.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12436,0,0,CASH DEPOSIT,,,,,Deposits,$935.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12437,0,0,CREDIT CARD DEPOSITS 4.28 THRU 5.13,,,,,Deposits,$365.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12439,0,0,MAY FOUNDATION PAYMENT,,,,,Deposits,"$514,997.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12443,0,0,CASH DEPOSIT,,,,,Deposits,$625.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12444,0,0,CASH DEPOSIT,,,,,Deposits,"$9,593.14"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12445,0,0,CREDIT CARD RECEIPTS 5/14 THRU 5/27,,,,,Deposits,"$1,151.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12446,0,0,MAY BOROUGH APPROPRIATION,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12450,0,0,YRBS ,,,,,Deposits,$600.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12451,0,0,CREDIT CARD RECEIPTS 5/28,,,,,Deposits,$231.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12453,0,0,CASH DEPOSIT,,,,,Deposits,"$2,212.22"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12454,0,0,CASH DEPOSIT,,,,,Deposits,"$1,962.54"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12455,0,0,CREDIT CARD 5.28 THRU 6.10.2019,,,,,Deposits,"$1,260.43"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12462,0,0,CASH DEPOSIT,,,,,Deposits,"$3,651.80"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12463,0,0,ONE-TIME 20 MILLION GRANT,,,,,Deposits,"$94,028.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12464,0,0,CASH DEPOSIT,,,,,Deposits,"$4,714.84"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12465,0,0,NSF CHECK - LEWIS,,,,,Deposits,-$35.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12466,0,0,JUNE FOUNDATION PAYMENT,,,,,Deposits,"$514,997.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12470,0,0,CREDIT CARD DEPOSITS 6.11 THRU 6/26,,,,,Deposits,$35.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12471,0,0,JUNE BOROUGH APPROPRIATION,,,,,Deposits,"$150,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,12472,0,0,REVERSE DUPLICATE DEPOSIT,,,,,Deposits,-$231.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,125,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,-$240.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,127,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$1,283.71"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,128,0,,Q1 GRANT JE,,,367038.kgilpin,,Adjusting,"$1,698.85"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,129,0,,RECLASSIFY DEED STAFF DEVELOPMENT AND CORRECTING ENTRIES,,,367038.kgilpin,,Adjusting,"$7,154.50"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,130,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$38,740.05"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,131,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,-$117.42
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,133,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,-$921.72
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,135,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$120,400.29"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,137,0,,Payroll Employee Check Processing,,,367038.kquitslund,,Payroll,"-$18,820.84"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,138,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$297,967.08"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,139,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$48,704.88"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,140,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$61,369.37"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,141,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$94,460.38"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,142,0,,PR Deduction Checks,,,367038.kquitslund,,Payroll,"-$13,408.23"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,146,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$7,876.56"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,147,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$11,584.62"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,148,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$4,595.17"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,150,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$4,464.68"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,151,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$30,791.03"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,153,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$5,386.41"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,155,0,,AP Expense Checks,,,367038.kquitslund,,Accounts Payable,"-$11,793.92"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,161,0,,Balance Forward As of 7/1/2018,,,367038.kquitslund,,Adjusting,"-$242,257.10"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,18,0,,Payroll Employee Check Processing,,,367038.kquitslund,,Payroll,"-$1,851.90"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,19,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$8,347.24"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,193,0,,PERS AND TRS ADJU JULY 2018,,,367038.kgilpin,,Adjusting,"$3,920.78"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,194,0,,"VOID: sent to wrong address, paid with BOA ",,,367038.kgilpin,,Accounts Payable,$225.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,197,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$18,512.45"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,199,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,-$912.96
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,2,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$14,673.81"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,20,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$53,495.57"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,205,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,-$24.95
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,206,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,-$305.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,207,0,,Reversing journal entry for journal entry 161,,,367038.kgilpin,,Adjusting,"$242,257.10"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,21,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$19,080.86"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,22,0,,PR Deduction Checks,,,367038.kquitslund,,Payroll,"-$3,238.20"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,235,0,,JULY/AUGUST PERS ADJUSTMENT,,,367038.kgilpin,,Adjusting,-$237.95
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,24,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$13,416.38"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,240,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$113,527.23"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,242,0,,AUGUST TRS ADJUSTMENT FOR R DORMER AND T TOLAND,,,367038.kgilpin,,Adjusting,"-$3,292.95"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,245,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,-$105.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,246,0,,SEPTEMBER TRS PAYROLL ADJUST OFR DCR FORFEITURE,,,367038.kgilpin,,Adjusting,"$7,310.23"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,247,0,,SEPT PERS ADJUSTEMENTS- DCR FORFEITURE AND TRUE UPS ,,,367038.kgilpin,,Adjusting,"$2,980.96"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,251,0,,Payroll Employee Check Processing,,,367038.kquitslund,,Payroll,"-$18,947.62"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,252,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$431,416.76"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,253,0,,PR Deduction Checks,,,367038.kquitslund,,Payroll,"-$13,428.23"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,254,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$5,083.71"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,255,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$6,521.60"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,256,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$46,350.52"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,257,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$3,100.61"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,258,0,,VOID: DID NOT MAKE TRIP,,,367038.kgilpin,,Accounts Payable,$140.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,26,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$9,623.18"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,261,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$3,510.88"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,270,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$2,410.20"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,272,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,-$105.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,274,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$4,213.78"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,28,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$5,091.07"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,282,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$11,423.28"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,285,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,-$34.36
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,287,0,,VOID: Paid to wrong account,,,367038.kgilpin,,Accounts Payable,"$2,648.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,290,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$3,273.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,294,0,,TRANSFER TO FOOD SERVICE RENOVATION PROJECT,,,367038.kgilpin,,Adjusting,"-$100,000.00"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,296,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$120,362.32"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,297,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$60,507.93"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,298,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$7,653.85"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,30,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,-$220.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,300,0,,Payroll Employee Check Processing,,,367038.kquitslund,,Payroll,"-$15,912.84"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,301,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$48,177.08"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,302,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$305,863.90"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,303,0,,Direct Voucher Posting,,,367038.kquitslund,,Payroll,"-$98,585.91"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,304,0,,PR Deduction Checks,,,367038.kquitslund,,Payroll,"-$13,428.23"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,306,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,"-$4,723.13"
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,308,0,,AP Expense Checks,,,367038.kgilpin,,Accounts Payable,-$820.00
Petersburg Borough School District,19,100,000,000,000,610,CASH - FB,309,0,,Direct Voucher Posting,,,367038.kquitslund,,Accounts Payable,"-$8,265.92"
