District_Name,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code,Account_Name,Description,Budget,Encumbrance,Amount,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_Year,BatchNo
Copper River School District,19,100,7,100,0,315,TEACHER,06/15/2019 PAYROLL LABOR DIST,0,0,31744.08,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,7,100,0,315,TEACHER,7/15/2019 CERT/ADM PAYROLL - L,0,0,31264.08,6/29/2019,J,1281, , ,,         ,                              ,                   ,19,368
Copper River School District,19,100,7,100,0,315,TEACHER,8/15/2019 CERT PAYROLL LABOR D,0,0,31260.93,6/30/2019,J,1284, , ,,         ,                              ,                   ,19,371
Copper River School District,19,100,8,100,0,315,TEACHER,08/15/2018 PAYROLL - LABOR DIS,0,0,10010.04,8/31/2018,J,1172, , ,,         ,                              ,                   ,19,41
Copper River School District,19,100,8,100,0,315,TEACHER,9/15/2018 PAYROLL LABOR DISTRI,0,0,25501.32,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,8,100,0,315,TEACHER,10/15/2018 PAYROLL,0,0,24917.12,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,8,100,0,315,TEACHER,11/15/2018 PAYROLL - LABOR DIS,0,0,24917.12,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,8,100,0,315,TEACHER,12/15/2018 PAYROLL - LABOR DIS,0,0,24917.12,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,8,100,0,315,TEACHER,1/15/2019 PAYROLL LAB DIST,0,0,24917.12,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,8,100,0,315,TEACHER,2/15/2019 PAYROLL - LABOR DIST,0,0,24917.12,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,8,100,0,315,TEACHER,3/15/2019 PAYROLL - LABOR DIST,0,0,24917.12,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,8,100,0,315,TEACHER,4/15/2019 PR LABOR DIST,0,0,23905.7,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,8,100,0,315,TEACHER,5/15/2019 PAYROLL - LABOR DIST,0,0,24105.7,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,8,100,0,315,TEACHER,06/15/2019 PAYROLL LABOR DIST,0,0,25179.12,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,8,100,0,315,TEACHER,7/15/2019 CERT/ADM PAYROLL - L,0,0,23405.7,6/29/2019,J,1281, , ,,         ,                              ,                   ,19,368
Copper River School District,19,100,8,100,0,315,TEACHER,8/15/2019 CERT PAYROLL LABOR D,0,0,23402.2,6/30/2019,J,1284, , ,,         ,                              ,                   ,19,371
Copper River School District,19,100,99,100,0,315,TEACHER,5/15/2019 PAYROLL - LABOR DIST,0,0,3500,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,4,100,0,323,AIDES,10/15/2018 PAYROLL,0,0,363.6,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,4,100,0,323,AIDES,11/15/2018 PAYROLL - LABOR DIS,0,0,363.6,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,4,100,0,323,AIDES,1/15/2019 PAYROLL LAB DIST,0,0,363.6,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,4,100,0,323,AIDES,2/15/2019 PAYROLL - LABOR DIST,0,0,318.15,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,4,100,0,323,AIDES,3/15/2019 PAYROLL - LABOR DIST,0,0,386.33,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,4,100,0,323,AIDES,5/15/2019 PAYROLL - LABOR DIST,0,0,530.25,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,6,100,0,323,AIDES,7/15/2018 CLAS/ADM PAYROLL - L,0,0,140.55,7/31/2018,J,1148, , ,,         ,                              ,                   ,19,12
Copper River School District,19,100,6,100,0,323,AIDES,9/15/2018 PAYROLL LABOR DISTRI,0,0,1200.33,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,6,100,0,323,AIDES,10/15/2018 PAYROLL,0,0,1754.4,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,6,100,0,323,AIDES,11/15/2018 PAYROLL - LABOR DIS,0,0,3673.05,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,6,100,0,323,AIDES,12/15/2018 PAYROLL - LABOR DIS,0,0,5097.56,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,6,100,0,323,AIDES,1/15/2019 PAYROLL LAB DIST,0,0,4563.94,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,6,100,0,323,AIDES,2/15/2019 PAYROLL - LABOR DIST,0,0,7407.67,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,6,100,0,323,AIDES,3/15/2019 PAYROLL - LABOR DIST,0,0,4684.62,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,6,100,0,323,AIDES,4/15/2019 PR LABOR DIST,0,0,4551.92,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,6,100,0,323,AIDES,5/15/2019 PAYROLL - LABOR DIST,0,0,4868.18,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,6,100,0,323,AIDES,06/15/2019 PAYROLL LABOR DIST,0,0,1005.35,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,7,100,0,323,AIDES,7/15/2018 CLAS/ADM PAYROLL - L,0,0,340.95,7/31/2018,J,1148, , ,,         ,                              ,                   ,19,12
Copper River School District,19,100,7,100,0,323,AIDES,08/15/2018 PAYROLL - LABOR DIS,0,0,217.84,8/31/2018,J,1172, , ,,         ,                              ,                   ,19,41
Copper River School District,19,100,7,100,0,323,AIDES,9/15/2018 PAYROLL LABOR DISTRI,0,0,9667.37,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,7,100,0,323,AIDES,10/15/2018 PAYROLL,0,0,8672.55,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,7,100,0,323,AIDES,11/15/2018 PAYROLL - LABOR DIS,0,0,7649.26,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,7,100,0,323,AIDES,12/15/2018 PAYROLL - LABOR DIS,0,0,8242.61,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,7,100,0,323,AIDES,1/15/2019 PAYROLL LAB DIST,0,0,8313.47,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,7,100,0,323,AIDES,2/15/2019 PAYROLL - LABOR DIST,0,0,9228.44,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,7,100,0,323,AIDES,3/15/2019 PAYROLL - LABOR DIST,0,0,7502.38,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,7,100,0,323,AIDES,4/15/2019 PR LABOR DIST,0,0,8384.29,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,7,100,0,323,AIDES,5/15/2019 PAYROLL - LABOR DIST,0,0,9064.72,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,7,100,0,323,AIDES,06/15/2019 PAYROLL LABOR DIST,0,0,1499.78,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,7,100,0,323,AIDES,Jared Dale from 267 to 100,0,0,1668.33,12/31/2018,J,1218, , ,,         ,                              ,                   ,19,168
Copper River School District,19,100,7,100,0,323,AIDES,6/16 to 6/30/19 Accrued P/R,0,0,140.62,6/30/2019,J,1314, , ,,         ,                              ,                   ,19,409
Copper River School District,19,100,8,100,0,323,AIDES,10/15/2018 PAYROLL,0,0,339.42,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,8,100,0,323,AIDES,11/15/2018 PAYROLL - LABOR DIS,0,0,386.74,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,8,100,0,323,AIDES,12/15/2018 PAYROLL - LABOR DIS,0,0,359.7,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,8,100,0,323,AIDES,1/15/2019 PAYROLL LAB DIST,0,0,228.53,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,8,100,0,323,AIDES,2/15/2019 PAYROLL - LABOR DIST,0,0,396.89,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,8,100,0,323,AIDES,3/15/2019 PAYROLL - LABOR DIST,0,0,227.18,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,8,100,0,323,AIDES,4/15/2019 PR LABOR DIST,0,0,371.19,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,8,100,0,323,AIDES,5/15/2019 PAYROLL - LABOR DIST,0,0,322.51,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2018 PAYROLL - LABOR DIS,0,0,213.75,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,3/15/2019 PAYROLL - LABOR DIST,0,0,71.25,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,4/15/2019 PR LABOR DIST,0,0,102.6,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,4,100,0,329,SUB/TEMP NON-CERTIFIED,5/15/2019 PAYROLL - LABOR DIST,0,0,118.75,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,9/15/2018 PAYROLL LABOR DISTRI,0,0,81.25,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,10/15/2018 PAYROLL,0,0,1458.92,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,11/15/2018 PAYROLL - LABOR DIS,0,0,996.75,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2018 PAYROLL - LABOR DIS,0,0,655.83,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,1/15/2019 PAYROLL LAB DIST,0,0,95,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,2/15/2019 PAYROLL - LABOR DIST,0,0,1018.75,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,3/15/2019 LYNCH/SCOTT PAYROLL,0,0,125,3/29/2019,J,1246, , ,,         ,                              ,                   ,19,260
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,4/15/2019 PR LABOR DIST,0,0,95,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,6,100,0,329,SUB/TEMP NON-CERTIFIED,5/15/2019 PAYROLL - LABOR DIST,0,0,918.76,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,9/15/2018 PAYROLL LABOR DISTRI,0,0,919.06,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,10/15/2018 PAYROLL,0,0,684.38,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,11/15/2018 PAYROLL - LABOR DIS,0,0,1204.6,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2018 PAYROLL - LABOR DIS,0,0,1430.83,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,1/15/2019 PAYROLL LAB DIST,0,0,165.25,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,2/15/2019 PAYROLL - LABOR DIST,0,0,912.6,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,3/15/2019 PAYROLL - LABOR DIST,0,0,948.1,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,4/15/2019 PR LABOR DIST,0,0,1914.58,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,5/15/2019 PAYROLL - LABOR DIST,0,0,648.85,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,7,100,0,329,SUB/TEMP NON-CERTIFIED,06/15/2019 PAYROLL LABOR DIST,0,0,95,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,9/15/2018 PAYROLL LABOR DISTRI,0,0,84.38,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,10/15/2018 PAYROLL,0,0,803.76,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,11/15/2018 PAYROLL - LABOR DIS,0,0,947.5,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2018 PAYROLL - LABOR DIS,0,0,765.21,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,2/15/2019 PAYROLL - LABOR DIST,0,0,884.38,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,3/15/2019 PAYROLL - LABOR DIST,0,0,1042.45,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,4/15/2019 PR LABOR DIST,0,0,1509.38,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,5/15/2019 PAYROLL - LABOR DIST,0,0,2016.83,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,8,100,0,329,SUB/TEMP NON-CERTIFIED,06/15/2019 PAYROLL LABOR DIST,0,0,95,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,99,100,0,329,SUB/TEMP NON-CERTIFIED,12/15/2018 PAYROLL - LABOR DIS,0,0,2000,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,99,100,0,329,SUB/TEMP NON-CERTIFIED,1/15/2019 PAYROLL LAB DIST,0,0,7000,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,99,100,0,329,SUB/TEMP NON-CERTIFIED,5/15/2019 PAYROLL - LABOR DIST,0,0,9000,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,99,100,0,329,SUB/TEMP NON-CERTIFIED,FY19 Receivables General,0,0,-8612,6/30/2019,J,1315, , ,,         ,                              ,                   ,19,410
Copper River School District,19,100,99,100,0,329,SUB/TEMP NON-CERTIFIED,CORRECT YE RECEIVABLES JE - RA,0,0,8612,6/30/2019,J,1336, , ,,         ,                              ,                   ,19,427
Copper River School District,19,100,4,100,0,360,EMPLOYEE BENEFITS,,,,,7/1/2018,,,,,,,,,,
Copper River School District,19,100,6,100,0,360,EMPLOYEE BENEFITS,,,,,7/1/2018,,,,,,,,,,
Copper River School District,19,100,7,100,0,360,EMPLOYEE BENEFITS,,,,,7/1/2018,,,,,,,,,,
Copper River School District,19,100,8,100,0,360,EMPLOYEE BENEFITS,,,,,7/1/2018,,,,,,,,,,
Copper River School District,19,100,99,100,0,360,EMPLOYEE BENEFITS,,,,,7/1/2018,,,,,,,,,,
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,9/15/2018 PAYROLL LABOR DISTRI,0,0,1436.76,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,10/15/2018 PAYROLL,0,0,1436.76,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,11/15/2018 PAYROLL - LABOR DIS,0,0,1436.76,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,12/15/2018 PAYROLL - LABOR DIS,0,0,1436.76,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,1/15/2019 PAYROLL LAB DIST,0,0,1436.75,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,2/15/2019 PAYROLL - LABOR DIST,0,0,1436.76,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,3/15/2019 PAYROLL - LABOR DIST,0,0,1436.76,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,4/15/2019 PR LABOR DIST,0,0,1436.76,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,5/15/2019 PAYROLL - LABOR DIST,0,0,1436.76,5/31/2019,J,1263, , ,,         ,                              ,                   ,19,325
Copper River School District,19,100,4,100,0,361,INSURANCE - LIFE & HEALTH,06/15/2019 PAYROLL LABOR DIST,0,0,1436.76,6/28/2019,J,1276, , ,,         ,                              ,                   ,19,353
Copper River School District,19,100,6,100,0,361,INSURANCE - LIFE & HEALTH,9/15/2018 PAYROLL LABOR DISTRI,0,0,8468.06,9/28/2018,J,1180, , ,,         ,                              ,                   ,19,59
Copper River School District,19,100,6,100,0,361,INSURANCE - LIFE & HEALTH,10/15/2018 PAYROLL,0,0,9331.16,10/31/2018,J,1185, , ,,         ,                              ,                   ,19,91
Copper River School District,19,100,6,100,0,361,INSURANCE - LIFE & HEALTH,11/15/2018 PAYROLL - LABOR DIS,0,0,9331.81,11/30/2018,J,1197, , ,,         ,                              ,                   ,19,119
Copper River School District,19,100,6,100,0,361,INSURANCE - LIFE & HEALTH,12/15/2018 PAYROLL - LABOR DIS,0,0,9331.81,12/21/2018,J,1200, , ,,         ,                              ,                   ,19,136
Copper River School District,19,100,6,100,0,361,INSURANCE - LIFE & HEALTH,1/15/2019 PAYROLL LAB DIST,0,0,12738.22,1/31/2019,J,1224, , ,,         ,                              ,                   ,19,186
Copper River School District,19,100,6,100,0,361,INSURANCE - LIFE & HEALTH,2/15/2019 PAYROLL - LABOR DIST,0,0,12738.33,2/28/2019,J,1240, , ,,         ,                              ,                   ,19,233
Copper River School District,19,100,6,100,0,361,INSURANCE - LIFE & HEALTH,3/15/2019 PAYROLL - LABOR DIST,0,0,12736.44,3/29/2019,J,1245, , ,,         ,                              ,                   ,19,253
Copper River School District,19,100,6,100,0,361,INSURANCE - LIFE & HEALTH,4/15/2019 PR LABOR DIST,0,0,11869.56,4/30/2019,J,1258, , ,,         ,                              ,                   ,19,292
